time_fs,c60_charge_population
0.0,0.00000000
5.0,0.13180894
10.0,0.15792683
15.0,0.18607724
20.0,0.21016260
25.0,0.23568767
30.0,0.25863821
35.0,0.28648374
40.0,0.31490515
45.0,0.34131098
50.0,0.36771680
55.0,0.39932249
60.0,0.42804878
65.0,0.45538618
70.0,0.47747290
75.0,0.50152439
80.0,0.52560976
85.0,0.54683266
90.0,0.56951220
95.0,0.59176829
100.0,0.61043360
105.0,0.62987805
110.0,0.64728997
115.0,0.66470190
120.0,0.68130081
125.0,0.69639228
130.0,0.71084011
135.0,0.72418699
140.0,0.73963415
145.0,0.75247290
150.0,0.76117886
155.0,0.76908875
160.0,0.77452575
165.0,0.78460366
170.0,0.79193767
175.0,0.79861111
180.0,0.80508130
185.0,0.81195799
190.0,0.81785230
195.0,0.82220528
200.0,0.82859079
205.0,0.83294377
210.0,0.83333333
215.0,0.83758469
220.0,0.84397019
225.0,0.84552846
230.0,0.84861111
235.0,0.85093157
240.0,0.85365854
245.0,0.85557249
250.0,0.85992547
255.0,0.86178862
260.0,0.86178862
265.0,0.86282182
270.0,0.86585366
275.0,0.86585366
280.0,0.86585366
285.0,0.86991870
290.0,0.86991870
295.0,0.86991870
300.0,0.86991870
305.0,0.86991870
310.0,0.86991870
315.0,0.87367886
320.0,0.87398374
325.0,0.87398374
330.0,0.87398374
335.0,0.87398374
340.0,0.87269648
345.0,0.87398374
350.0,0.87195122
355.0,0.87195122
360.0,0.87195122
365.0,0.87195122
370.0,0.87195122
375.0,0.87398374
380.0,0.87398374
385.0,0.87398374
390.0,0.87398374
395.0,0.87398374
400.0,0.87398374
405.0,0.87398374
410.0,0.87398374
415.0,0.87398374
420.0,0.87398374
425.0,0.87398374
430.0,0.87398374
435.0,0.87398374
440.0,0.87303523
445.0,0.87195122
450.0,0.87195122
455.0,0.87217141
460.0,0.87195122
465.0,0.87195122
470.0,0.87195122
475.0,0.87288279
480.0,0.87398374
485.0,0.87398374
490.0,0.87195122
495.0,0.87200203
500.0,0.87398374
505.0,0.87398374
510.0,0.87306911
515.0,0.87315379
520.0,0.87398374
525.0,0.87398374
530.0,0.87195122
535.0,0.87398374
540.0,0.87337398
545.0,0.87284892
550.0,0.87398374
555.0,0.87398374
560.0,0.87398374
565.0,0.87195122
570.0,0.87367886
575.0,0.87195122
580.0,0.87195122
585.0,0.87311992
590.0,0.87252710
595.0,0.87398374
600.0,0.87398374
