# time  poten(istate=1)  kinen  toten
0.0000000000  -39.9050487200  0.0154342603  -39.8896144597
4.1341370000  -39.9051854500  0.0155724059  -39.8896130441
8.2682740000  -39.9053057400  0.0156926346  -39.8896131054
12.4024110000  -39.9054087200  0.0157956148  -39.8896131052
16.5365480000  -39.9054956600  0.0158825435  -39.8896131165
20.6706850000  -39.9055695300  0.0159550537  -39.8896144763
24.8048220000  -39.9056289500  0.0160151457  -39.8896138043
28.9389590000  -39.9056783700  0.0160651099  -39.8896132601
33.0730960000  -39.9057204700  0.0161074677  -39.8896130023
37.2072330000  -39.9057547800  0.0161447984  -39.8896099816
41.3413700000  -39.9057909000  0.0161799321  -39.8896109679
45.4755070000  -39.9058258700  0.0162157869  -39.8896100831
49.6096440000  -39.9058686800  0.0162552113  -39.8896134687
53.7437810000  -39.9059135400  0.0163010634  -39.8896124766
57.8779180000  -39.9059682900  0.0163558434  -39.8896124466
62.0120550000  -39.9060340300  0.0164218816  -39.8896121484
66.1461920000  -39.9061133500  0.0165014836  -39.8896118664
70.2803290000  -39.9062082900  0.0165966730  -39.8896116170
74.4144660000  -39.9063206100  0.0167092283  -39.8896113817
78.5486030000  -39.9064518400  0.0168406675  -39.8896111725
82.6827400000  -39.9066032200  0.0169923667  -39.8896108533
86.8168770000  -39.9067757600  0.0171652870  -39.8896104730
90.9510140000  -39.9069702000  0.0173600163  -39.8896101837
95.0851510000  -39.9071869900  0.0175770389  -39.8896099511
99.2192880000  -39.9074263600  0.0178166068  -39.8896097532
103.3534250000  -39.9076883700  0.0180787401  -39.8896096299
107.4875620000  -39.9079726200  0.0183632510  -39.8896093690
111.6216990000  -39.9082792200  0.0186698181  -39.8896094019
115.7558360000  -39.9086074500  0.0189979625  -39.8896094875
119.8899730000  -39.9089566500  0.0193470505  -39.8896095995
124.0241100000  -39.9093260800  0.0197163241  -39.8896097559
128.1582470000  -39.9097147100  0.0201049158  -39.8896097942
132.2923840000  -39.9101218600  0.0205118541  -39.8896100059
136.4265210000  -39.9105463200  0.0209360727  -39.8896102473
140.5606580000  -39.9109856200  0.0213764405  -39.8896091795
144.6947950000  -39.9114416500  0.0218317384  -39.8896099116
148.8289320000  -39.9119108000  0.0223006518  -39.8896101482
152.9630690000  -39.9123921900  0.0227818018  -39.8896103882
157.0972060000  -39.9128851000  0.0232736857  -39.8896114143
161.2313430000  -39.9133864500  0.0237747674  -39.8896116826
165.3654800000  -39.9138948700  0.0242835686  -39.8896113014
169.4996170000  -39.9144099400  0.0247984399  -39.8896115001
173.6337540000  -39.9149290500  0.0253175332  -39.8896115168
177.7678910000  -39.9154505500  0.0258389596  -39.8896115904
181.9020280000  -39.9159723000  0.0263607448  -39.8896115552
186.0361650000  -39.9164925500  0.0268808634  -39.8896116866
190.1703020000  -39.9170089800  0.0273973150  -39.8896116650
194.3044390000  -39.9175195600  0.0279079174  -39.8896116426
198.4385760000  -39.9180219500  0.0284103303  -39.8896116197
202.5727130000  -39.9185138200  0.0289022162  -39.8896116038
206.7068500000  -39.9189927700  0.0293811791  -39.8896115909
210.8409870000  -39.9194563300  0.0298447498  -39.8896115802
214.9751240000  -39.9199023800  0.0302904436  -39.8896119364
219.1092610000  -39.9203276400  0.0307157455  -39.8896118945
223.2433980000  -39.9207299300  0.0311180878  -39.8896118422
227.3775350000  -39.9211066600  0.0314949288  -39.8896117312
231.5116720000  -39.9214553400  0.0318437575  -39.8896115825
235.6458090000  -39.9217733500  0.0321621200  -39.8896112300
239.7799460000  -39.9220586400  0.0324476360  -39.8896110040
243.9140830000  -39.9223088000  0.0326980250  -39.8896107750
248.0482200000  -39.9225214000  0.0329111147  -39.8896102853
252.1823570000  -39.9226950300  0.0330849357  -39.8896100943
256.3164940000  -39.9228281400  0.0332178134  -39.8896103266
260.4506310000  -39.9229181100  0.0333081602  -39.8896099498
264.5847680000  -39.9229644800  0.0333547236  -39.8896097564
268.7189050000  -39.9229662000  0.0333567008  -39.8896094992
272.8530420000  -39.9229227100  0.0333135359  -39.8896091741
276.9871790000  -39.9228338400  0.0332250534  -39.8896087866
281.1213160000  -39.9226998100  0.0330914836  -39.8896083264
285.2554530000  -39.9225212500  0.0329134927  -39.8896077573
289.3895900000  -39.9222993700  0.0326921919  -39.8896071781
293.5237270000  -39.9220356700  0.0324291431  -39.8896065269
297.6578640000  -39.9217321600  0.0321263761  -39.8896057839
301.7920010000  -39.9213914000  0.0317863816  -39.8896050184
305.9261380000  -39.9210164900  0.0314120397  -39.8896044503
310.0602750000  -39.9206105000  0.0310067328  -39.8896037672
314.1944120000  -39.9201773700  0.0305743123  -39.8896030577
318.3285490000  -39.9197213200  0.0301189445  -39.8896023755
322.4626860000  -39.9192467500  0.0296451264  -39.8896016236
326.5968230000  -39.9187585100  0.0291576428  -39.8896008672
330.7309600000  -39.9182616300  0.0286615233  -39.8896001067
334.8650970000  -39.9177613400  0.0281619896  -39.8895993504
338.9992340000  -39.9172630200  0.0276644016  -39.8895986184
343.1333710000  -39.9167720800  0.0271742042  -39.8895978758
347.2675080000  -39.9162940400  0.0266968419  -39.8895971981
351.4016450000  -39.9158343300  0.0262377365  -39.8895965935
355.5357820000  -39.9153983300  0.0258020152  -39.8895963148
359.6699190000  -39.9149912600  0.0253949095  -39.8895963505
363.8040560000  -39.9146182900  0.0250219972  -39.8895962928
367.9381930000  -39.9142842200  0.0246882444  -39.8895959756
372.0723300000  -39.9139938000  0.0243980980  -39.8895957020
376.2064670000  -39.9137514200  0.0241560833  -39.8895953367
380.3406040000  -39.9135610800  0.0239663066  -39.8895947734
384.4747410000  -39.9134265300  0.0238323942  -39.8895941358
388.6088780000  -39.9133511800  0.0237577285  -39.8895934515
392.7430150000  -39.9133379800  0.0237452897  -39.8895926903
396.8771520000  -39.9133894900  0.0237976041  -39.8895918859
401.0112890000  -39.9135076900  0.0239167070  -39.8895909830
405.1454260000  -39.9136941900  0.0241040934  -39.8895900966
409.2795630000  -39.9139499700  0.0243607562  -39.8895892138
413.4137000000  -39.9142755000  0.0246869559  -39.8895885441
417.5478370000  -39.9146701300  0.0250825335  -39.8895875965
421.6819740000  -39.9151340400  0.0255469005  -39.8895871395
425.8161110000  -39.9156653800  0.0260786361  -39.8895867439
429.9502480000  -39.9162620800  0.0266756829  -39.8895863971
434.0843850000  -39.9169214600  0.0273353312  -39.8895861288
438.2185220000  -39.9176401600  0.0280542214  -39.8895859386
442.3526590000  -39.9184141800  0.0288283525  -39.8895858275
446.4867960000  -39.9192388800  0.0296530996  -39.8895857804
450.6209330000  -39.9201090300  0.0305232359  -39.8895857941
454.7550700000  -39.9210200800  0.0314329820  -39.8895870980
458.8892070000  -39.9219612800  0.0323758251  -39.8895854549
463.0233440000  -39.9229308000  0.0333448622  -39.8895859378
467.1574810000  -39.9239193100  0.0343328718  -39.8895864382
471.2916180000  -39.9249189600  0.0353321086  -39.8895868514
475.4257550000  -39.9259214300  0.0363342006  -39.8895872294
479.5598920000  -39.9269182800  0.0373301699  -39.8895881101
483.6940290000  -39.9278991500  0.0383106259  -39.8895885241
487.8281660000  -39.9288546400  0.0392656037  -39.8895890363
491.9623030000  -39.9297743500  0.0401846042  -39.8895897458
496.0964400000  -39.9306470400  0.0410565346  -39.8895905054
500.2305770000  -39.9314606100  0.0418696548  -39.8895909552
504.3647140000  -39.9322012600  0.0426115548  -39.8895897052
508.4988510000  -39.9328620300  0.0432693900  -39.8895926400
512.6329880000  -39.9334236700  0.0438298379  -39.8895938321
516.7671250000  -39.9338728300  0.0442790656  -39.8895937644
520.9012620000  -39.9341982300  0.0446038027  -39.8895944273
525.0353990000  -39.9343849500  0.0447907090  -39.8895942410
529.1695360000  -39.9344223900  0.0448264991  -39.8895958909
533.3036730000  -39.9342959700  0.0446999500  -39.8895960200
537.4378100000  -39.9339980100  0.0444020859  -39.8895959241
541.5719470000  -39.9335221100  0.0439265800  -39.8895955300
545.7060840000  -39.9328659200  0.0432704559  -39.8895954641
549.8402210000  -39.9320304400  0.0424357712  -39.8895946688
553.9743580000  -39.9310250000  0.0414305280  -39.8895944720
558.1084950000  -39.9298619200  0.0402692628  -39.8895926572
562.2426320000  -39.9285644700  0.0389734180  -39.8895910520
566.3767690000  -39.9271628700  0.0375734194  -39.8895894506
570.5109060000  -39.9256968700  0.0361096017  -39.8895872683
574.6450430000  -39.9242141300  0.0346305035  -39.8895836265
578.7791800000  -39.9227745700  0.0331935143  -39.8895810557
582.9133170000  -39.9214409800  0.0318630492  -39.8895779308
587.0474540000  -39.9202828200  0.0307067673  -39.8895760527
591.1815910000  -39.9193667900  0.0297934988  -39.8895732912
595.3157280000  -39.9187602500  0.0291886652  -39.8895715848
599.4498650000  -39.9185181700  0.0289486301  -39.8895695399
603.5840020000  -39.9186845600  0.0291167834  -39.8895677766
607.7181390000  -39.9192870400  0.0297191770  -39.8895678630
611.8522760000  -39.9203321500  0.0307621084  -39.8895700416
615.9864130000  -39.9218037200  0.0322312426  -39.8895724774
620.1205500000  -39.9236684700  0.0340923949  -39.8895760751
624.2546870000  -39.9258746900  0.0362942421  -39.8895804479
628.3888240000  -39.9283584300  0.0387722037  -39.8895862263
632.5229610000  -39.9310436700  0.0414534612  -39.8895902088
636.6570980000  -39.9338572700  0.0442620805  -39.8895951895
640.7912350000  -39.9367243600  0.0471236693  -39.8896006907
644.9253720000  -39.9395731100  0.0499694056  -39.8896037044
649.0595090000  -39.9423460000  0.0527391062  -39.8896068938
653.1936460000  -39.9449921000  0.0553829946  -39.8896091054
657.3277830000  -39.9474733100  0.0578625285  -39.8896107815
661.4619200000  -39.9497619700  0.0601503334  -39.8896116366
665.5960570000  -39.9518412000  0.0622293321  -39.8896118679
669.7301940000  -39.9537032900  0.0640916974  -39.8896115926
673.8643310000  -39.9553483700  0.0657374626  -39.8896109074
677.9984680000  -39.9567829500  0.0671730348  -39.8896099152
682.1326050000  -39.9580184800  0.0684098199  -39.8896086601
686.2667420000  -39.9590700200  0.0694627952  -39.8896072248
690.4008790000  -39.9599550900  0.0703493579  -39.8896057321
694.5350160000  -39.9606927100  0.0710884293  -39.8896042807
698.6691530000  -39.9613026000  0.0716997092  -39.8896028908
702.8032900000  -39.9618051400  0.0722029621  -39.8896021779
706.9374270000  -39.9622185500  0.0726176802  -39.8896008698
711.0715640000  -39.9625634500  0.0729627054  -39.8896007446
715.2057010000  -39.9628536600  0.0732560362  -39.8895976238
719.3398380000  -39.9631108300  0.0735146059  -39.8895962241
723.4739750000  -39.9633502700  0.0737542497  -39.8895960203
727.6081120000  -39.9635847000  0.0739896677  -39.8895950323
731.7422490000  -39.9638297400  0.0742344176  -39.8895953224
735.8763860000  -39.9640953900  0.0745009303  -39.8895944597
740.0105230000  -39.9643941200  0.0748003560  -39.8895937640
744.1446600000  -39.9647354900  0.0751428323  -39.8895926577
748.2787970000  -39.9651295700  0.0755372426  -39.8895923274
752.4129340000  -39.9655838600  0.0759916944  -39.8895921656
756.5470710000  -39.9661050300  0.0765135078  -39.8895915222
760.6812080000  -39.9667010800  0.0771092733  -39.8895918067
764.8153450000  -39.9673771100  0.0777850595  -39.8895920505
768.9494820000  -39.9681381800  0.0785461679  -39.8895920121
773.0836190000  -39.9689891500  0.0793971282  -39.8895920218
777.2177560000  -39.9699342000  0.0803420014  -39.8895921986
781.3518930000  -39.9709768100  0.0813844517  -39.8895923583
785.4860300000  -39.9721200500  0.0825275279  -39.8895925221
789.6201670000  -39.9733663200  0.0837736711  -39.8895926489
793.7543040000  -39.9747174400  0.0851246448  -39.8895927952
797.8884410000  -39.9761744100  0.0865814459  -39.8895929641
802.0225780000  -39.9777373800  0.0881441726  -39.8895932074
806.1567150000  -39.9794053600  0.0898118473  -39.8895935127
810.2908520000  -39.9811762600  0.0915822658  -39.8895939942
814.4249890000  -39.9830465300  0.0934519560  -39.8895945740
818.5591260000  -39.9850105100  0.0954155673  -39.8895949427
822.6932630000  -39.9870610200  0.0974655114  -39.8895955086
826.8274000000  -39.9891884500  0.0995921689  -39.8895962811
830.9615370000  -39.9913808600  0.1017834849  -39.8895973751
835.0956740000  -39.9936226300  0.1040242510  -39.8895983790
839.2298110000  -39.9958960700  0.1062961581  -39.8895999119
843.3639480000  -39.9981791100  0.1085775353  -39.8896015747
847.4980850000  -40.0004459700  0.1108429344  -39.8896030356
851.6322220000  -40.0026684600  0.1130631775  -39.8896052825
855.7663590000  -40.0048129500  0.1152052397  -39.8896077103
859.9004960000  -40.0068429700  0.1172326146  -39.8896103554
864.0346330000  -40.0087194100  0.1191058855  -39.8896135245
868.1687700000  -40.0103998300  0.1207834551  -39.8896163749
872.3029070000  -40.0118420400  0.1222228392  -39.8896192008
876.4370440000  -40.0130043000  0.1233823669  -39.8896219331
880.5711810000  -40.0138477600  0.1242233893  -39.8896243707
884.7053180000  -40.0143393500  0.1247130965  -39.8896262535
888.8394550000  -40.0144551100  0.1248277444  -39.8896273656
892.9735920000  -40.0141838500  0.1245564134  -39.8896274366
897.1077290000  -40.0135311700  0.1239049724  -39.8896261976
901.2418660000  -40.0125233900  0.1228999506  -39.8896234394
905.3760030000  -40.0112107100  0.1215916823  -39.8896190277
909.5101400000  -40.0096689700  0.1200559763  -39.8896129937
913.6442770000  -40.0079990100  0.1183936712  -39.8896053388
917.7784140000  -40.0063230100  0.1167266727  -39.8895963373
921.9125510000  -40.0047390100  0.1151956329  -39.8895433771
926.0466880000  -40.0034711900  0.1139366590  -39.8895345310
930.1808250000  -40.0025989400  0.1130711109  -39.8895278291
934.3149620000  -40.0022261000  0.1127025218  -39.8895235782
938.4490990000  -40.0024195500  0.1128972473  -39.8895223027
942.5832360000  -40.0032001400  0.1136759367  -39.8895242033
946.7173730000  -40.0045396000  0.1150105486  -39.8895290514
950.8515100000  -40.0063640100  0.1168277759  -39.8895362341
954.9856470000  -40.0085630500  0.1190180850  -39.8895449650
959.1197840000  -40.0110028600  0.1214486734  -39.8895541866
963.2539210000  -40.0135407500  0.1239777448  -39.8895630052
967.3880580000  -40.0160384500  0.1264678034  -39.8895706466
971.5221950000  -40.0183728700  0.1287963237  -39.8895765463
975.6563320000  -40.0204435600  0.1308628270  -39.8895807330
979.7904690000  -40.0221756600  0.1325924727  -39.8895831873
983.9246060000  -40.0235205000  0.1339364790  -39.8895840210
988.0587430000  -40.0244538300  0.1348702488  -39.8895835812
992.1928800000  -40.0249721100  0.1353900244  -39.8895820856
996.3270170000  -40.0250886300  0.1355088232  -39.8895798068
1000.4611540000  -40.0248293900  0.1352523859  -39.8895770041
1004.5952910000  -40.0242291900  0.1346553789  -39.8895738111
1008.7294280000  -40.0233286900  0.1337581139  -39.8895705761
1012.8635650000  -40.0221712000  0.1326038594  -39.8895673406
1016.9977020000  -40.0208009600  0.1312367457  -39.8895642143
1021.1318390000  -40.0192614500  0.1297002080  -39.8895612420
1025.2659760000  -40.0175943600  0.1280358769  -39.8895584831
1029.4001130000  -40.0158388100  0.1262828471  -39.8895559629
1033.5342500000  -40.0140309300  0.1244772507  -39.8895536793
1037.6683870000  -40.0122037000  0.1226520495  -39.8895516505
1041.8025240000  -40.0103868300  0.1208369786  -39.8895498514
1045.9366610000  -40.0086068900  0.1190586062  -39.8895482838
1050.0707980000  -40.0068872800  0.1173404830  -39.8895467970
1054.2049350000  -40.0052490200  0.1157032887  -39.8895457313
1058.3390720000  -40.0037097200  0.1141650574  -39.8895446626
1062.4732090000  -40.0022850800  0.1127413970  -39.8895436830
1066.6073460000  -40.0009887200  0.1114457309  -39.8895429891
1070.7414830000  -39.9998318800  0.1102895134  -39.8895423666
1074.8756200000  -39.9988241600  0.1092823181  -39.8895418419
1079.0097570000  -39.9979735500  0.1084320273  -39.8895415227
1083.1438940000  -39.9972861800  0.1077450332  -39.8895411468
1087.2780310000  -39.9967671900  0.1072263373  -39.8895408527
1091.4121680000  -39.9964202300  0.1068796427  -39.8895405873
1095.5463050000  -39.9962478800  0.1067074460  -39.8895404340
