# time  poten(istate=1)  kinen  toten
1657.7889370000  -39.9356168300  0.1032288555  -39.8323879745
1661.9230740000  -39.9361616600  0.1037724677  -39.8323891923
1666.0572110000  -39.9367094800  0.1043026585  -39.8324068215
1670.1913480000  -39.9367121800  0.1042794591  -39.8324327209
1674.3254850000  -39.9361196800  0.1037116476  -39.8324080324
1678.4596220000  -39.9355589200  0.1031527093  -39.8324062107
1682.5937590000  -39.9350601000  0.1026543107  -39.8324057893
1686.7278960000  -39.9346241600  0.1022185017  -39.8324056583
1690.8620330000  -39.9342482500  0.1018425946  -39.8324056554
1694.9961700000  -39.9339279400  0.1015221844  -39.8324057556
1699.1303070000  -39.9336577100  0.1012517991  -39.8324059109
1703.2644440000  -39.9334313000  0.1010251853  -39.8324061147
1707.3985810000  -39.9332418700  0.1008356013  -39.8324062687
1711.5327180000  -39.9330823300  0.1006759150  -39.8324064150
1715.6668550000  -39.9329453500  0.1005386887  -39.8324066613
1719.8009920000  -39.9328236100  0.1004166247  -39.8324069853
1723.9351290000  -39.9327100200  0.1003027072  -39.8324073128
1728.0692660000  -39.9325978600  0.1001902100  -39.8324076500
1732.2034030000  -39.9324809100  0.1000729162  -39.8324079938
1736.3375400000  -39.9323535500  0.0999452303  -39.8324083197
1740.4716770000  -39.9322109900  0.0998023364  -39.8324086536
1744.6058140000  -39.9320490300  0.0996401819  -39.8324088481
1748.7399510000  -39.9318645700  0.0994555428  -39.8324090272
1752.8740880000  -39.9316552800  0.0992461310  -39.8324091490
1757.0082250000  -39.9314198100  0.0990105899  -39.8324092201
1761.1423620000  -39.9311577700  0.0987485224  -39.8324092476
1765.2764990000  -39.9308696400  0.0984603896  -39.8324092504
1769.4106360000  -39.9305568900  0.0981475830  -39.8324093070
1773.5447730000  -39.9302213700  0.0978122412  -39.8324091288
1777.6789100000  -39.9298663800  0.0974572694  -39.8324091106
1781.8130470000  -39.9294954600  0.0970863773  -39.8324090827
1785.9471840000  -39.9291127100  0.0967037503  -39.8324089597
1790.0813210000  -39.9287228500  0.0963140448  -39.8324088052
1794.2154580000  -39.9283309700  0.0959223409  -39.8324086291
1798.3495950000  -39.9279422900  0.0955339224  -39.8324083676
1802.4837320000  -39.9275624900  0.0951542620  -39.8324082280
1806.6178690000  -39.9271970700  0.0947889366  -39.8324081334
1810.7520060000  -39.9268514300  0.0944433998  -39.8324080302
1814.8861430000  -39.9265308200  0.0941228761  -39.8324079439
1819.0202800000  -39.9262403000  0.0938323381  -39.8324079619
1823.1544170000  -39.9259841200  0.0935762946  -39.8324078254
1827.2885540000  -39.9257664000  0.0933586876  -39.8324077124
1831.4226910000  -39.9255905200  0.0931829120  -39.8324076080
1835.5568280000  -39.9254590600  0.0930516306  -39.8324074294
1839.6909650000  -39.9253743600  0.0929668490  -39.8324075110
1843.8251020000  -39.9253377300  0.0929299675  -39.8324077625
1847.9592390000  -39.9253490900  0.0929414072  -39.8324076828
1852.0933760000  -39.9254087500  0.0930008201  -39.8324079299
1856.2275130000  -39.9255157200  0.0931073946  -39.8324083254
1860.3616500000  -39.9256674400  0.0932593765  -39.8324080635
1864.4957870000  -39.9258630600  0.0934542928  -39.8324087672
1868.6299240000  -39.9260984900  0.0936892453  -39.8324092447
1872.7640610000  -39.9263704900  0.0939607519  -39.8324097381
1876.8981980000  -39.9266751800  0.0942649346  -39.8324102454
1881.0323350000  -39.9270083600  0.0945975738  -39.8324107862
1885.1664720000  -39.9273655100  0.0949541838  -39.8324113262
1889.3006090000  -39.9277419900  0.0953301288  -39.8324118612
1893.4347460000  -39.9281330800  0.0957206848  -39.8324123952
1897.5688830000  -39.9285340400  0.0961210970  -39.8324129430
1901.7030200000  -39.9289402700  0.0965267428  -39.8324135272
1905.8371570000  -39.9293473900  0.0969332352  -39.8324141548
1909.9712940000  -39.9297508400  0.0973362763  -39.8324145637
1914.1054310000  -39.9301468900  0.0977318276  -39.8324150624
1918.2395680000  -39.9305317600  0.0981162194  -39.8324155406
1922.3737050000  -39.9309021300  0.0984860737  -39.8324160563
1926.5078420000  -39.9312525700  0.0988152408  -39.8324373292
1930.6419790000  -39.9306830300  0.0986509516  -39.8320320784
1934.7761160000  -39.9300576300  0.0980252384  -39.8320323916
1938.9102530000  -39.9294238100  0.0973915612  -39.8320322488
1943.0443900000  -39.9287839900  0.0967518954  -39.8320320946
1947.1785270000  -39.9281404100  0.0961084445  -39.8320319655
1951.3126640000  -39.9274954600  0.0954635354  -39.8320319246
1955.4468010000  -39.9268513500  0.0948195931  -39.8320317569
1959.5809380000  -39.9262106800  0.0941790918  -39.8320315882
1963.7150750000  -39.9255759500  0.0935445271  -39.8320314229
1967.8492120000  -39.9249496500  0.0929183755  -39.8320312745
1971.9833490000  -39.9243342100  0.0923030771  -39.8320311329
1976.1174860000  -39.9237320000  0.0917010053  -39.8320309947
1980.2516230000  -39.9231452900  0.0911144312  -39.8320308588
1984.3857600000  -39.9225762500  0.0905455100  -39.8320307400
1988.5198970000  -39.9220268600  0.0899962597  -39.8320306003
1992.6540340000  -39.9214990300  0.0894685389  -39.8320304911
1996.7881710000  -39.9209944200  0.0889640299  -39.8320303901
2000.9223080000  -39.9205145300  0.0884842322  -39.8320302978
2005.0564450000  -39.9200606800  0.0880304485  -39.8320302315
2009.1905820000  -39.9196339400  0.0876037742  -39.8320301658
2013.3247190000  -39.9192351800  0.0872050935  -39.8320300865
2017.4588560000  -39.9188650900  0.0868350665  -39.8320300235
2021.5929930000  -39.9185241000  0.0864941155  -39.8320299845
2025.7271300000  -39.9182123800  0.0861823869  -39.8320299931
2029.8612670000  -39.9179299000  0.0858998173  -39.8320300827
2033.9954040000  -39.9176763700  0.0856461727  -39.8320301973
2038.1295410000  -39.9174512700  0.0854209492  -39.8320303208
2042.2636780000  -39.9172538400  0.0852233813  -39.8320304587
2046.3978150000  -39.9170830600  0.0850524663  -39.8320305937
2050.5319520000  -39.9169377000  0.0849069650  -39.8320307350
2054.6660890000  -39.9168163000  0.0847854055  -39.8320308945
2058.8002260000  -39.9167171500  0.0846860910  -39.8320310590
2062.9343630000  -39.9166383200  0.0846071095  -39.8320312105
2067.0685000000  -39.9165777200  0.0845463427  -39.8320313773
2071.2026370000  -39.9165330200  0.0845014789  -39.8320315411
