# time  poten(istate=0)  kinen  toten
1922.3737050000  -39.9318942400  0.0994349869  -39.8324592531
1926.5078420000  -39.9313015700  0.0988644308  -39.8324371392
1930.6419790000  -39.9315839800  0.0987483750  -39.8328356050
1934.7761160000  -39.9318913200  0.0990554175  -39.8328359025
1938.9102530000  -39.9321753800  0.0993390803  -39.8328362997
1943.0443900000  -39.9324341500  0.0995977109  -39.8328364391
1947.1785270000  -39.9326667400  0.0998300575  -39.8328366825
1951.3126640000  -39.9328719700  0.1000351270  -39.8328368430
1955.4468010000  -39.9330492200  0.1002122192  -39.8328370008
1959.5809380000  -39.9331980000  0.1003608571  -39.8328371429
1963.7150750000  -39.9333181400  0.1004808263  -39.8328373137
1967.8492120000  -39.9334096200  0.1005721380  -39.8328374820
1971.9833490000  -39.9334726400  0.1006349994  -39.8328376406
1976.1174860000  -39.9335075600  0.1006697543  -39.8328378057
1980.2516230000  -39.9335148400  0.1006768822  -39.8328379578
1984.3857600000  -39.9334950800  0.1006569710  -39.8328381090
1988.5198970000  -39.9334489800  0.1006106864  -39.8328382936
1992.6540340000  -39.9333772100  0.1005387711  -39.8328384389
1996.7881710000  -39.9332805900  0.1004420122  -39.8328385778
2000.9223080000  -39.9331599300  0.1003212086  -39.8328387214
2005.0564450000  -39.9330160500  0.1001772417  -39.8328388083
2009.1905820000  -39.9328497600  0.1000109253  -39.8328388347
2013.3247190000  -39.9326618800  0.0998229983  -39.8328388817
2017.4588560000  -39.9324532300  0.0996142495  -39.8328389805
2021.5929930000  -39.9322245000  0.0993854367  -39.8328390633
2025.7271300000  -39.9319764300  0.0991372736  -39.8328391564
2029.8612670000  -39.9317097100  0.0988704324  -39.8328392776
2033.9954040000  -39.9314249600  0.0985855244  -39.8328394356
2038.1295410000  -39.9311227500  0.0982831267  -39.8328396233
2042.2636780000  -39.9308036200  0.0979637022  -39.8328399178
2046.3978150000  -39.9304680200  0.0976277250  -39.8328402950
2050.5319520000  -39.9301164000  0.0972756903  -39.8328407097
2054.6660890000  -39.9297491100  0.0969079706  -39.8328411394
2058.8002260000  -39.9293664800  0.0965248957  -39.8328415843
2062.9343630000  -39.9289687900  0.0961267466  -39.8328420434
2067.0685000000  -39.9285562800  0.0957137712  -39.8328425088
2071.2026370000  -39.9281291600  0.0952861764  -39.8328429836
