# time  poten(istate=0)  kinen  toten
1513.0941420000  -39.9336852900  0.0812098711  -39.8524754189
1517.2282790000  -39.9327611700  0.0802864327  -39.8524747373
1521.3624160000  -39.9318547000  0.0793806144  -39.8524740856
1525.4965530000  -39.9309726900  0.0784992233  -39.8524734667
1529.6306900000  -39.9301217900  0.0776489182  -39.8524728718
1533.7648270000  -39.9293078600  0.0768354022  -39.8524724578
1537.8989640000  -39.9285346700  0.0760622992  -39.8524723708
1542.0331010000  -39.9278026800  0.0753301403  -39.8524725397
1546.1672380000  -39.9271093600  0.0746365297  -39.8524728303
1550.3013750000  -39.9264507900  0.0739776859  -39.8524731041
1554.4355120000  -39.9258235500  0.0733502682  -39.8524732818
1558.5696490000  -39.9252254800  0.0727521200  -39.8524733600
1562.7037860000  -39.9246556600  0.0721822794  -39.8524733806
1566.8379230000  -39.9241140600  0.0716406971  -39.8524733629
1570.9720600000  -39.9236012400  0.0711279222  -39.8524733178
1575.1061970000  -39.9231181200  0.0706448680  -39.8524732520
1579.2403340000  -39.9226658300  0.0701926501  -39.8524731799
1583.3744710000  -39.9222455800  0.0697724833  -39.8524730967
1587.5086080000  -39.9218586500  0.0693856124  -39.8524730376
1591.6427450000  -39.9215062200  0.0690332645  -39.8524729555
1595.7768820000  -39.9211895000  0.0687166244  -39.8524728756
1599.9110190000  -39.9209096100  0.0684368154  -39.8524727946
1604.0451560000  -39.9206676200  0.0681948860  -39.8524727340
1608.1792930000  -39.9204644800  0.0679917973  -39.8524726827
1612.3134300000  -39.9203010500  0.0678284149  -39.8524726351
1616.4475670000  -39.9201781000  0.0677054992  -39.8524726008
1620.5817040000  -39.9200962700  0.0676237008  -39.8524725692
1624.7158410000  -39.9200561100  0.0675835581  -39.8524725519
1628.8499780000  -39.9200580300  0.0675854938  -39.8524725362
1632.9841150000  -39.9201023500  0.0676298056  -39.8524725444
1637.1182520000  -39.9201892100  0.0677166615  -39.8524725485
1641.2523890000  -39.9203186600  0.0678460969  -39.8524725631
1645.3865260000  -39.9204905900  0.0680180029  -39.8524725871
1649.5206630000  -39.9207047300  0.0682321212  -39.8524726088
1653.6548000000  -39.9209606900  0.0684880355  -39.8524726545
1657.7889370000  -39.9212578700  0.0687851652  -39.8524727048
1661.9230740000  -39.9215955200  0.0691227582  -39.8524727618
1666.0572110000  -39.9219726400  0.0694998657  -39.8524727743
1670.1913480000  -39.9223882500  0.0699153545  -39.8524728955
1674.3254850000  -39.9228409500  0.0703679004  -39.8524730496
1678.4596220000  -39.9233291600  0.0708559554  -39.8524732046
1682.5937590000  -39.9238511300  0.0713777448  -39.8524733852
1686.7278960000  -39.9244048400  0.0719312567  -39.8524735833
