#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
         1;          0.2;      8;      8.01;          ;    1059.79;    0.010068;       -1.173155;       -1.163086;                ;          
         2;          0.4;      7;      4.73;      0.83;    1028.66;    0.009773;       -1.172863;       -1.163090;       -1.163090;      0.00
         3;          0.6;      7;      8.32;      0.76;     934.96;    0.008882;       -1.171972;       -1.163090;       -1.163090;      0.04
         4;          0.8;      7;      5.91;      0.84;     783.25;    0.007441;       -1.170523;       -1.163082;       -1.163082;      0.44
         5;          1.0;      7;      5.86;      0.76;     589.05;    0.005596;       -1.168664;       -1.163067;       -1.163067;      1.22
         6;          1.2;      6;      5.53;      0.75;     379.11;    0.003602;       -1.166649;       -1.163047;       -1.163047;      2.30
         7;          1.4;      6;      4.48;      0.75;     188.32;    0.001789;       -1.164814;       -1.163025;       -1.163025;      3.44
         8;          1.6;      6;      5.44;      0.75;      52.72;    0.000501;       -1.163509;       -1.163008;       -1.163008;      4.34
         9;          1.8;      4;      3.50;      0.77;       0.16;    0.000002;       -1.163002;       -1.163001;       -1.163001;      4.71
        10;          2.0;      4;      3.55;      0.78;      41.91;    0.000398;       -1.163405;       -1.163006;       -1.163006;      4.42
        11;          2.2;      4;      3.59;      0.77;     168.99;    0.001605;       -1.164628;       -1.163023;       -1.163023;      3.57
        12;          2.4;      6;      4.86;      0.77;     355.13;    0.003374;       -1.166418;       -1.163044;       -1.163044;      2.43
        13;          2.6;      6;      4.33;      0.75;     564.73;    0.005365;       -1.168430;       -1.163065;       -1.163065;      1.33
        14;          2.8;      7;      4.49;      0.75;     762.35;    0.007243;       -1.170323;       -1.163081;       -1.163081;      0.51
        15;          3.0;      7;      5.38;      0.79;     920.04;    0.008741;       -1.171830;       -1.163089;       -1.163089;      0.07
        16;          3.2;      7;      6.20;      0.76;    1020.94;    0.009699;       -1.172790;       -1.163091;       -1.163091;     -0.01
        17;          3.4;      7;      5.82;      0.75;    1059.31;    0.010064;       -1.173151;       -1.163087;       -1.163087;      0.19
        18;          3.6;      7;      5.31;      0.75;    1038.39;    0.009865;       -1.172945;       -1.163080;       -1.163080;      0.57
        19;          3.8;      7;      7.78;      0.76;     967.42;    0.009191;       -1.172262;       -1.163071;       -1.163071;      1.03
        20;          4.0;      7;      7.82;      0.79;     858.92;    0.008160;       -1.171222;       -1.163062;       -1.163062;      1.52
        21;          4.2;      6;      5.30;      0.75;     726.53;    0.006902;       -1.169955;       -1.163053;       -1.163053;      1.98
        22;          4.4;      6;      6.72;      0.75;     583.51;    0.005544;       -1.168589;       -1.163045;       -1.163045;      2.38
        23;          4.6;      6;      4.82;      0.79;     441.44;    0.004194;       -1.167234;       -1.163040;       -1.163040;      2.67
        24;          4.8;      6;      4.21;      0.75;     309.38;    0.002939;       -1.165975;       -1.163036;       -1.163036;      2.88
        25;          5.0;      5;      4.25;      0.79;     194.35;    0.001846;       -1.164879;       -1.163032;       -1.163032;      3.07
        26;          5.2;      5;      3.79;      0.77;     102.23;    0.000971;       -1.164000;       -1.163029;       -1.163029;      3.22
        27;          5.4;      4;      3.37;      0.76;      37.83;    0.000359;       -1.163387;       -1.163027;       -1.163027;      3.33
        28;          5.6;      4;      3.44;      0.75;       4.47;    0.000042;       -1.163069;       -1.163026;       -1.163026;      3.38
        29;          5.8;      3;      4.44;      0.76;       3.80;    0.000036;       -1.163062;       -1.163026;       -1.163026;      3.38
        30;          6.0;      4;      4.44;      0.75;      35.85;    0.000341;       -1.163368;       -1.163027;       -1.163027;      3.33
        31;          6.2;      4;      5.40;      0.74;      99.04;    0.000941;       -1.163970;       -1.163029;       -1.163029;      3.23
        32;          6.4;      5;      4.54;      0.76;     190.12;    0.001806;       -1.164838;       -1.163032;       -1.163032;      3.08
        33;          6.6;      5;      3.80;      0.74;     304.33;    0.002891;       -1.165927;       -1.163036;       -1.163036;      2.89
        34;          6.8;      6;      4.32;      0.76;     435.82;    0.004141;       -1.167180;       -1.163039;       -1.163039;      2.68
        35;          7.0;      6;      5.43;      0.77;     577.65;    0.005488;       -1.168533;       -1.163045;       -1.163045;      2.39
        36;          7.2;      6;      4.21;      0.75;     720.84;    0.006848;       -1.169901;       -1.163053;       -1.163053;      2.00
