Total energy after final integration           :     -1.173031679 Eh
Total energy after final integration           :     -1.172751678 Eh
Total energy after final integration           :     -1.171880219 Eh
Total energy after final integration           :     -1.170457076 Eh
Total energy after final integration           :     -1.168625056 Eh
Total energy after final integration           :     -1.166634122 Eh
Total energy after final integration           :     -1.164813478 Eh
Total energy after final integration           :     -1.163506595 Eh
Total energy after final integration           :     -1.162982136 Eh
Total energy after final integration           :     -1.163352756 Eh
Total energy after final integration           :     -1.164538470 Eh
Total energy after final integration           :     -1.166292814 Eh
Total energy after final integration           :     -1.168278686 Eh
Total energy after final integration           :     -1.170158764 Eh
Total energy after final integration           :     -1.171666212 Eh
Total energy after final integration           :     -1.172639094 Eh
Total energy after final integration           :     -1.173020984 Eh
Total energy after final integration           :     -1.172840321 Eh
Total energy after final integration           :     -1.172181632 Eh
Total energy after final integration           :     -1.171156993 Eh
Total energy after final integration           :     -1.169879894 Eh
Total energy after final integration           :     -1.168439124 Eh
Total energy after final integration           :     -1.166876639 Eh
Total energy after final integration           :     -1.165205391 Eh
Total energy after final integration           :     -1.163488114 Eh
Total energy after final integration           :     -1.161851316 Eh
Total energy after final integration           :     -1.160415677 Eh
Total energy after final integration           :     -1.159267761 Eh
Total energy after final integration           :     -1.158464709 Eh
Total energy after final integration           :     -1.158041473 Eh
Total energy after final integration           :     -1.158015099 Eh
Total energy after final integration           :     -1.158386612 Eh
Total energy after final integration           :     -1.159141127 Eh
Total energy after final integration           :     -1.160246227 Eh
Total energy after final integration           :     -1.161648071 Eh
Total energy after final integration           :     -1.163264523 Eh
Total energy after final integration           :     -1.164979158 Eh
Total energy after final integration           :     -1.166662570 Eh
Total energy after final integration           :     -1.168241303 Eh
Total energy after final integration           :     -1.169700464 Eh
Total energy after final integration           :     -1.171004000 Eh
Total energy after final integration           :     -1.172067943 Eh
Total energy after final integration           :     -1.172780297 Eh
Total energy after final integration           :     -1.173027267 Eh
Total energy after final integration           :     -1.172719232 Eh
Total energy after final integration           :     -1.171818993 Eh
Total energy after final integration           :     -1.170370896 Eh
Total energy after final integration           :     -1.168523192 Eh
Total energy after final integration           :     -1.166530901 Eh
Total energy after final integration           :     -1.164726076 Eh
Total energy after final integration           :     -1.163451103 Eh
Total energy after final integration           :     -1.162969016 Eh
Total energy after final integration           :     -1.163383566 Eh
Total energy after final integration           :     -1.164605395 Eh
Total energy after final integration           :     -1.166381241 Eh
Total energy after final integration           :     -1.168371508 Eh
Total energy after final integration           :     -1.170240560 Eh
Total energy after final integration           :     -1.171725930 Eh
Total energy after final integration           :     -1.172670935 Eh
Total energy after final integration           :     -1.173023881 Eh
Total energy after final integration           :     -1.172816707 Eh
Total energy after final integration           :     -1.172136041 Eh
Total energy after final integration           :     -1.171094759 Eh
Total energy after final integration           :     -1.169805949 Eh
Total energy after final integration           :     -1.168356798 Eh
Total energy after final integration           :     -1.166787396 Eh
Total energy after final integration           :     -1.165112037 Eh
Total energy after final integration           :     -1.163398068 Eh
Total energy after final integration           :     -1.161772801 Eh
Total energy after final integration           :     -1.160354589 Eh
Total energy after final integration           :     -1.159227757 Eh
Total energy after final integration           :     -1.158447831 Eh
Total energy after final integration           :     -1.158048555 Eh
Total energy after final integration           :     -1.158045970 Eh
Total energy after final integration           :     -1.158440185 Eh
Total energy after final integration           :     -1.159215382 Eh
Total energy after final integration           :     -1.160338085 Eh
Total energy after final integration           :     -1.161753129 Eh
Total energy after final integration           :     -1.163376685 Eh
Total energy after final integration           :     -1.165090908 Eh
Total energy after final integration           :     -1.166768259 Eh
Total energy after final integration           :     -1.168340241 Eh
Total energy after final integration           :     -1.169792159 Eh
Total energy after final integration           :     -1.171084260 Eh
Total energy after final integration           :     -1.172129608 Eh
Total energy after final integration           :     -1.172815105 Eh
Total energy after final integration           :     -1.173027622 Eh
Total energy after final integration           :     -1.172680053 Eh
Total energy after final integration           :     -1.171739758 Eh
Total energy after final integration           :     -1.170257578 Eh
Total energy after final integration           :     -1.168389354 Eh
Total energy after final integration           :     -1.166396981 Eh
Total energy after final integration           :     -1.164616100 Eh
Total energy after final integration           :     -1.163387063 Eh
Total energy after final integration           :     -1.162964572 Eh
Total energy after final integration           :     -1.163439697 Eh
Total energy after final integration           :     -1.164710108 Eh
Total energy after final integration           :     -1.166513445 Eh
Total energy after final integration           :     -1.168507147 Eh
Total energy after final integration           :     -1.170358357 Eh
Total energy after final integration           :     -1.171810984 Eh
Total energy after final integration           :     -1.172715766 Eh
Total energy after final integration           :     -1.173027596 Eh
Total energy after final integration           :     -1.172783216 Eh
Total energy after final integration           :     -1.172072081 Eh
Total energy after final integration           :     -1.171008055 Eh
Total energy after final integration           :     -1.169703455 Eh
Total energy after final integration           :     -1.168242890 Eh
Total energy after final integration           :     -1.166663424 Eh
Total energy after final integration           :     -1.164980948 Eh
Total energy after final integration           :     -1.163268996 Eh
Total energy after final integration           :     -1.161656188 Eh
Total energy after final integration           :     -1.160258231 Eh
Total energy after final integration           :     -1.159156822 Eh
Total energy after final integration           :     -1.158405531 Eh
Total energy after final integration           :     -1.158036597 Eh
Total energy after final integration           :     -1.158064776 Eh
Total energy after final integration           :     -1.158488956 Eh
Total energy after final integration           :     -1.159292038 Eh
Total energy after final integration           :     -1.160439056 Eh
Total energy after final integration           :     -1.161872945 Eh
Total energy after final integration           :     -1.163507397 Eh
Total energy after final integration           :     -1.165222427 Eh
Total energy after final integration           :     -1.166892743 Eh
Total energy after final integration           :     -1.168456027 Eh
Total energy after final integration           :     -1.169897922 Eh
Total energy after final integration           :     -1.171174611 Eh
Total energy after final integration           :     -1.172196105 Eh
Total energy after final integration           :     -1.172848477 Eh
Total energy after final integration           :     -1.173019902 Eh
Total energy after final integration           :     -1.172626807 Eh
Total energy after final integration           :     -1.171642468 Eh
Total energy after final integration           :     -1.170125715 Eh
Total energy after final integration           :     -1.168241229 Eh
Total energy after final integration           :     -1.166258234 Eh
Total energy after final integration           :     -1.164515129 Eh
Total energy after final integration           :     -1.163347983 Eh
Total energy after final integration           :     -1.162999976 Eh
Total energy after final integration           :     -1.163546389 Eh
Total energy after final integration           :     -1.164869952 Eh
Total energy after final integration           :     -1.166698938 Eh
Total energy after final integration           :     -1.168689077 Eh
Total energy after final integration           :     -1.170512389 Eh
Total energy after final integration           :     -1.171921316 Eh
Total energy after final integration           :     -1.172775739 Eh
Total energy after final integration           :     -1.173038199 Eh
Total energy after final integration           :     -1.172750695 Eh
Total energy after final integration           :     -1.172005465 Eh
Total energy after final integration           :     -1.170916939 Eh
Total energy after final integration           :     -1.169595849 Eh
Total energy after final integration           :     -1.168122924 Eh
Total energy after final integration           :     -1.166530886 Eh
Total energy after final integration           :     -1.164837488 Eh
Total energy after final integration           :     -1.163123923 Eh
Total energy after final integration           :     -1.161520603 Eh
Total energy after final integration           :     -1.160140455 Eh
Total energy after final integration           :     -1.159062324 Eh
Total energy after final integration           :     -1.158337677 Eh
Total energy after final integration           :     -1.157997170 Eh
Total energy after final integration           :     -1.158054284 Eh
Total energy after final integration           :     -1.158506791 Eh
Total energy after final integration           :     -1.159336530 Eh
Total energy after final integration           :     -1.160507412 Eh
Total energy after final integration           :     -1.161961035 Eh
Total energy after final integration           :     -1.163609382 Eh
Total energy after final integration           :     -1.165330800 Eh
Total energy after final integration           :     -1.167000794 Eh
Total energy after final integration           :     -1.168560502 Eh
Total energy after final integration           :     -1.169996262 Eh
Total energy after final integration           :     -1.171262706 Eh
Total energy after final integration           :     -1.172268859 Eh
Total energy after final integration           :     -1.172901079 Eh
Total energy after final integration           :     -1.173049069 Eh
Total energy after final integration           :     -1.172632021 Eh
Total energy after final integration           :     -1.171627138 Eh
Total energy after final integration           :     -1.170097926 Eh
Total energy after final integration           :     -1.168213528 Eh
Total energy after final integration           :     -1.166245936 Eh
Total energy after final integration           :     -1.164533028 Eh
Total energy after final integration           :     -1.163406186 Eh
Total energy after final integration           :     -1.163100421 Eh
Total energy after final integration           :     -1.163681724 Eh
Total energy after final integration           :     -1.165025487 Eh
Total energy after final integration           :     -1.166856823 Eh
Total energy after final integration           :     -1.168832851 Eh
Total energy after final integration           :     -1.170630213 Eh
Total energy after final integration           :     -1.172007209 Eh
Total energy after final integration           :     -1.172829098 Eh
Total energy after final integration           :     -1.173062386 Eh
Total energy after final integration           :     -1.172751380 Eh
Total energy after final integration           :     -1.171989161 Eh
Total energy after final integration           :     -1.170889816 Eh
Total energy after final integration           :     -1.169562645 Eh
Total energy after final integration           :     -1.168085874 Eh
Total energy after final integration           :     -1.166489613 Eh
Total energy after final integration           :     -1.164791885 Eh
Total energy after final integration           :     -1.163076673 Eh
Total energy after final integration           :     -1.161475196 Eh
Total energy after final integration           :     -1.160099652 Eh
Total energy after final integration           :     -1.159028118 Eh
Total energy after final integration           :     -1.158311495 Eh
Total energy after final integration           :     -1.157980016 Eh
Total energy after final integration           :     -1.158046801 Eh
Total energy after final integration           :     -1.158509255 Eh
Total energy after final integration           :     -1.159348786 Eh
Total energy after final integration           :     -1.160528716 Eh
Total energy after final integration           :     -1.161989764 Eh
Total energy after final integration           :     -1.163642575 Eh
Total energy after final integration           :     -1.165364022 Eh
Total energy after final integration           :     -1.167030035 Eh
Total energy after final integration           :     -1.168584344 Eh
Total energy after final integration           :     -1.170013990 Eh
Total energy after final integration           :     -1.171272480 Eh
Total energy after final integration           :     -1.172267661 Eh
Total energy after final integration           :     -1.172885148 Eh
Total energy after final integration           :     -1.173014419 Eh
Total energy after final integration           :     -1.172575137 Eh
Total energy after final integration           :     -1.171545908 Eh
Total energy after final integration           :     -1.169992737 Eh
Total energy after final integration           :     -1.168088224 Eh
Total energy after final integration           :     -1.166108160 Eh
Total energy after final integration           :     -1.164393455 Eh
Total energy after final integration           :     -1.163276463 Eh
Total energy after final integration           :     -1.162990300 Eh
Total energy after final integration           :     -1.163596477 Eh
Total energy after final integration           :     -1.164964736 Eh
Total energy after final integration           :     -1.166815245 Eh
Total energy after final integration           :     -1.168802265 Eh
Total energy after final integration           :     -1.170602042 Eh
Total energy after final integration           :     -1.171974411 Eh
Total energy after final integration           :     -1.172787182 Eh
Total energy after final integration           :     -1.173009575 Eh
Total energy after final integration           :     -1.172688222 Eh
Total energy after final integration           :     -1.171917883 Eh
Total energy after final integration           :     -1.170813591 Eh
Total energy after final integration           :     -1.169484831 Eh
Total energy after final integration           :     -1.168009249 Eh
Total energy after final integration           :     -1.166416039 Eh
Total energy after final integration           :     -1.164722880 Eh
Total energy after final integration           :     -1.163013975 Eh
Total energy after final integration           :     -1.161420759 Eh
Total energy after final integration           :     -1.160055557 Eh
Total energy after final integration           :     -1.158996436 Eh
Total energy after final integration           :     -1.158294127 Eh
Total energy after final integration           :     -1.157978532 Eh
Total energy after final integration           :     -1.158062276 Eh
Total energy after final integration           :     -1.158542074 Eh
Total energy after final integration           :     -1.159398374 Eh
Total energy after final integration           :     -1.160593148 Eh
Total energy after final integration           :     -1.162065157 Eh
Total energy after final integration           :     -1.163722357 Eh
Total energy after final integration           :     -1.165439504 Eh
Total energy after final integration           :     -1.167095407 Eh
Total energy after final integration           :     -1.168639637 Eh
Total energy after final integration           :     -1.170059399 Eh
Total energy after final integration           :     -1.171305200 Eh
Total energy after final integration           :     -1.172282645 Eh
Total energy after final integration           :     -1.172876479 Eh
Total energy after final integration           :     -1.172976607 Eh
Total energy after final integration           :     -1.172504556 Eh
Total energy after final integration           :     -1.171442448 Eh
Total energy after final integration           :     -1.169861370 Eh
Total energy after final integration           :     -1.167939910 Eh
Total energy after final integration           :     -1.165959274 Eh
Total energy after final integration           :     -1.164263160 Eh
Total energy after final integration           :     -1.163182273 Eh
Total energy after final integration           :     -1.162943208 Eh
Total energy after final integration           :     -1.163597701 Eh
Total energy after final integration           :     -1.165005630 Eh
Total energy after final integration           :     -1.166880336 Eh
Total energy after final integration           :     -1.168873880 Eh
Total energy after final integration           :     -1.170664556 Eh
Total energy after final integration           :     -1.172016865 Eh
Total energy after final integration           :     -1.172804038 Eh
Total energy after final integration           :     -1.173000103 Eh
Total energy after final integration           :     -1.172655208 Eh
Total energy after final integration           :     -1.171866175 Eh
Total energy after final integration           :     -1.170748698 Eh
Total energy after final integration           :     -1.169411485 Eh
Total energy after final integration           :     -1.167929905 Eh
Total energy after final integration           :     -1.166330768 Eh
Total energy after final integration           :     -1.164633338 Eh
Total energy after final integration           :     -1.162926119 Eh
Total energy after final integration           :     -1.161341205 Eh
Total energy after final integration           :     -1.159989328 Eh
Total energy after final integration           :     -1.158946978 Eh
Total energy after final integration           :     -1.158263665 Eh
Total energy after final integration           :     -1.157968306 Eh
Total energy after final integration           :     -1.158072661 Eh
Total energy after final integration           :     -1.158572616 Eh
Total energy after final integration           :     -1.159447762 Eh
Total energy after final integration           :     -1.160659096 Eh
Total energy after final integration           :     -1.162144169 Eh
Total energy after final integration           :     -1.163809414 Eh
Total energy after final integration           :     -1.165528457 Eh
Total energy after final integration           :     -1.167181745 Eh
Total energy after final integration           :     -1.168721938 Eh
Total energy after final integration           :     -1.170136111 Eh
Total energy after final integration           :     -1.171373073 Eh
Total energy after final integration           :     -1.172337497 Eh
Total energy after final integration           :     -1.172914349 Eh
Total energy after final integration           :     -1.172994839 Eh
Total energy after final integration           :     -1.172502896 Eh
Total energy after final integration           :     -1.171424056 Eh
Total energy after final integration           :     -1.169833466 Eh
Total energy after final integration           :     -1.167913544 Eh
Total energy after final integration           :     -1.165947783 Eh
Total energy after final integration           :     -1.164279249 Eh
Total energy after final integration           :     -1.163234392 Eh
Total energy after final integration           :     -1.163032613 Eh
Total energy after final integration           :     -1.163717648 Eh
Total energy after final integration           :     -1.165143185 Eh
Total energy after final integration           :     -1.167020036 Eh
Total energy after final integration           :     -1.169001594 Eh
Total energy after final integration           :     -1.170770159 Eh
Total energy after final integration           :     -1.172095193 Eh
Total energy after final integration           :     -1.172854428 Eh
Total energy after final integration           :     -1.173025168 Eh
Total energy after final integration           :     -1.172659440 Eh
Total energy after final integration           :     -1.171854712 Eh
Total energy after final integration           :     -1.170726315 Eh
Total energy after final integration           :     -1.169381657 Eh
Total energy after final integration           :     -1.167893922 Eh
Total energy after final integration           :     -1.166288165 Eh
Total energy after final integration           :     -1.164585520 Eh
Total energy after final integration           :     -1.162878000 Eh
Total energy after final integration           :     -1.161297675 Eh
Total energy after final integration           :     -1.159953569 Eh
Total energy after final integration           :     -1.158920724 Eh
Total energy after final integration           :     -1.158247655 Eh
Total energy after final integration           :     -1.157962587 Eh
Total energy after final integration           :     -1.158076777 Eh
Total energy after final integration           :     -1.158585731 Eh
Total energy after final integration           :     -1.159468742 Eh
Total energy after final integration           :     -1.160686552 Eh
Total energy after final integration           :     -1.162176472 Eh
Total energy after final integration           :     -1.163844703 Eh
Total energy after final integration           :     -1.165564816 Eh
Total energy after final integration           :     -1.167217928 Eh
Total energy after final integration           :     -1.168757442 Eh
Total energy after final integration           :     -1.170169836 Eh
Total energy after final integration           :     -1.171402800 Eh
Total energy after final integration           :     -1.172360357 Eh
Total energy after final integration           :     -1.172927475 Eh
Total energy after final integration           :     -1.172996003 Eh
Total energy after final integration           :     -1.172491177 Eh
Total energy after final integration           :     -1.171400522 Eh
Total energy after final integration           :     -1.169801681 Eh
Total energy after final integration           :     -1.167879614 Eh
Total energy after final integration           :     -1.165919625 Eh
Total energy after final integration           :     -1.164264965 Eh
Total energy after final integration           :     -1.163240076 Eh
Total energy after final integration           :     -1.163060380 Eh
Total energy after final integration           :     -1.163764792 Eh
Total energy after final integration           :     -1.165202920 Eh
Total energy after final integration           :     -1.167083468 Eh
Total energy after final integration           :     -1.169060019 Eh
Total energy after final integration           :     -1.170816815 Eh
Total energy after final integration           :     -1.172126064 Eh
Total energy after final integration           :     -1.172868179 Eh
Total energy after final integration           :     -1.173022561 Eh
Total energy after final integration           :     -1.172642574 Eh
Total energy after final integration           :     -1.171826301 Eh
Total energy after final integration           :     -1.170689071 Eh
Total energy after final integration           :     -1.169337699 Eh
Total energy after final integration           :     -1.167844265 Eh
Total energy after final integration           :     -1.166233251 Eh
Total energy after final integration           :     -1.164527935 Eh
Total energy after final integration           :     -1.162822926 Eh
Total energy after final integration           :     -1.161249718 Eh
Total energy after final integration           :     -1.159915636 Eh
Total energy after final integration           :     -1.158894387 Eh
Total energy after final integration           :     -1.158233562 Eh
Total energy after final integration           :     -1.157960723 Eh
Total energy after final integration           :     -1.158086617 Eh
Total energy after final integration           :     -1.158606328 Eh
Total energy after final integration           :     -1.159498771 Eh
Total energy after final integration           :     -1.160724317 Eh
Total energy after final integration           :     -1.162219884 Eh
Total energy after final integration           :     -1.163891281 Eh
Total energy after final integration           :     -1.165612118 Eh
Total energy after final integration           :     -1.167264859 Eh
Total energy after final integration           :     -1.168804082 Eh
Total energy after final integration           :     -1.170215090 Eh
Total energy after final integration           :     -1.171443694 Eh
Total energy after final integration           :     -1.172392809 Eh
Total energy after final integration           :     -1.172947243 Eh
Total energy after final integration           :     -1.172999591 Eh
Total energy after final integration           :     -1.172476805 Eh
Total energy after final integration           :     -1.171369123 Eh
Total energy after final integration           :     -1.169757699 Eh
Total energy after final integration           :     -1.167831184 Eh
Total energy after final integration           :     -1.165877675 Eh
Total energy after final integration           :     -1.164241033 Eh
Total energy after final integration           :     -1.163243253 Eh
Total energy after final integration           :     -1.163094461 Eh
Total energy after final integration           :     -1.163826920 Eh
Total energy after final integration           :     -1.165284423 Eh
Total energy after final integration           :     -1.167172466 Eh
Total energy after final integration           :     -1.169144588 Eh
Total energy after final integration           :     -1.170887481 Eh
Total energy after final integration           :     -1.172177026 Eh
Total energy after final integration           :     -1.172897339 Eh
Total energy after final integration           :     -1.173030802 Eh
Total energy after final integration           :     -1.172632750 Eh
Total energy after final integration           :     -1.171802258 Eh
Total energy after final integration           :     -1.170654783 Eh
Total energy after final integration           :     -1.169296436 Eh
Total energy after final integration           :     -1.167797888 Eh
Total energy after final integration           :     -1.166182879 Eh
Total energy after final integration           :     -1.164477083 Eh
Total energy after final integration           :     -1.162777782 Eh
Total energy after final integration           :     -1.161215704 Eh
Total energy after final integration           :     -1.159896360 Eh
Total energy after final integration           :     -1.158892036 Eh
Total energy after final integration           :     -1.158249307 Eh
Total energy after final integration           :     -1.157994937 Eh
Total energy after final integration           :     -1.158138962 Eh
Total energy after final integration           :     -1.158675766 Eh
Total energy after final integration           :     -1.159583473 Eh
Total energy after final integration           :     -1.160821479 Eh
Total energy after final integration           :     -1.162325394 Eh
Total energy after final integration           :     -1.163999378 Eh
Total energy after final integration           :     -1.165716294 Eh
Total energy after final integration           :     -1.167361747 Eh
Total energy after final integration           :     -1.168893936 Eh
Total energy after final integration           :     -1.170296460 Eh
Total energy after final integration           :     -1.171511512 Eh
Total energy after final integration           :     -1.172439594 Eh
Total energy after final integration           :     -1.172964671 Eh
Total energy after final integration           :     -1.172980048 Eh
Total energy after final integration           :     -1.172415166 Eh
Total energy after final integration           :     -1.171264790 Eh
Total energy after final integration           :     -1.169616533 Eh
Total energy after final integration           :     -1.167666536 Eh
Total energy after final integration           :     -1.165709540 Eh
Total energy after final integration           :     -1.164092662 Eh
Total energy after final integration           :     -1.163135622 Eh
