dist ES0 ES1 gap
0.5 -1.08333303 -0.50585390 0.28874
0.6 -1.13701120 -0.59820852 0.269401
0.7 -1.15566124 -0.65094379 0.252359
0.8 -1.15625063 -0.68140603 0.237422
0.9 -1.14744387 -0.69870622 0.224369
1.0 -1.13394614 -0.70791372 0.213016
1.1 -1.11842717 -0.71196820 0.203229
1.2 -1.10244366 -0.71261418 0.194915
1.3 -1.08692305 -0.71090394 0.18801
1.4 -1.07242888 -0.70750188 0.182463
1.5 -1.05610242 -0.70659000 0.174756
1.6 -1.04551091 -0.70434461 0.170583
1.7 -1.03643412 -0.70171364 0.16736
1.8 -1.02877762 -0.69892903 0.164924
1.9 -1.02243209 -0.69607841 0.163177
2.0 -1.01726491 -0.69315037 0.162057
2.1 -1.01312781 -0.69009017 0.161519
2.2 -1.00986644 -0.68684600 0.16151
2.3 -1.00733046 -0.68339087 0.16197
2.4 -1.00538164 -0.67972494 0.162828
2.5 -1.00389879 -0.67586853 0.164015
