#
# Scaled Hessian eigenvectors (au) (rot and trasl at end):
#
 4.12390606324422e-01 -4.93562083960136e-01  2.21576759120079e-01 -2.02031948384357e-03  2.47513335095781e-01 -1.15195424929151e-01 -4.04309764902160e-01 -4.92631913414580e-01  2.37791274303186e-01
 5.75178510514806e-01  3.48911720020932e-01 -1.74275879658580e-01  9.46301359664059e-04 -1.75167969251660e-01  8.16086925437011e-02 -5.79024064242568e-01  3.48861834188307e-01 -1.50798118295002e-01
-5.36169336824264e-01 -3.73931712340227e-01  1.85144238001137e-01  2.71231442861562e-01 -5.81072688637677e-04 -5.24790346700621e-03 -5.44277090872697e-01  3.76295025462366e-01 -1.64284072024987e-01
 1.39625787827366e-01  3.44886181341104e-01  5.47053927876146e-01  2.73282592994699e-01  4.95637570196888e-01 -4.13871841801073e-01  1.27002856376630e-01  2.19844764279055e-01 -7.87326953665927e-02
 1.09077181842024e-01 -2.30749690500366e-01 -7.49068608492850e-02 -1.19860585779374e-01 -1.18115959159982e-01 -2.86242091311876e-01  1.25575507607198e-01  5.39329158032332e-01  7.15784944971721e-01
-1.86267717770327e-01  3.94481200787240e-01  1.23398351144423e-01  2.71698110530081e-01  1.49455873633648e-01  5.55982525336731e-01 -1.77639416698977e-01 -1.23446237255876e-01  5.85144034157504e-01
 1.69882759170552e-01 -9.82922361468605e-02 -1.87949676004352e-01  8.57546319772967e-01 -3.51677764557280e-01 -1.44256309715598e-01  1.73865002003875e-01 -1.25812024446628e-01  1.49290250724874e-02
 2.95020655804939e-01 -3.83943712674408e-01 -9.97164178388934e-02  1.40351559113172e-01  4.29498733074866e-01  5.61643603444269e-01  2.94423173596761e-01  3.45813555954432e-01 -1.72404740012218e-01
 1.72162472633908e-01 -9.97532039871454e-02  7.21719220440409e-01 -9.20569258752420e-02 -5.63880788015577e-01  2.85391082462395e-01  1.57030109557224e-01  6.44123962441788e-02 -5.32845701546891e-02


# sqrt(|eigenvalues|) of scaled Hessian (au) (rot and trasl at end):
 7.39542903599338e-03  1.72311869796487e-02  1.76901721863104e-02  1.11364838687070e-04  9.61303171011174e-05  5.84856292850754e-05  5.46890263424731e-05  7.45817911249107e-05  1.08412296136139e-04


# eigenvalues of scaled Hessian (au) (rot and trasl at end):
 5.46923706264140e-05  2.96913804727615e-04  3.12942191981312e-04 -1.24021272957971e-08 -9.24103786596138e-09 -3.42056883287127e-09  2.99088960228772e-09  5.56244356739980e-09  1.17532259535098e-08
