    Step            Time                Epot                Ekin                Etot
       0      0.00000000    -76.463334317987      0.021009045942    -76.442325272046
       1      8.26827492    -76.462942201882      0.020626610341    -76.442315591541
       2     16.53654983    -76.461917661261      0.019612820226    -76.442304841034
       3     24.80482475    -76.460405621053      0.018111423206    -76.442294197847
       4     33.07309966    -76.458554841125      0.016270436511    -76.442284404614
       5     41.34137458    -76.456505365177      0.014229490798    -76.442275874379
       6     49.60964949    -76.454381608736      0.012112864024    -76.442268744712
       7     57.87792441    -76.452289551134      0.010026583275    -76.442262967859
       8     66.14619932    -76.450316530783      0.008058122743    -76.442258408040
       9     74.41447424    -76.448532469146      0.006277565454    -76.442254903692
      10     82.68274915    -76.446991731904      0.004739433770    -76.442252298135
      11     90.95102407    -76.445735138151      0.003484684066    -76.442250454084
      12     99.21929898    -76.444791823116      0.002542563463    -76.442249259653
      13    107.48757390    -76.444180788282      0.001932155654    -76.442248632628
      14    115.75584881    -76.443912051654      0.001663528766    -76.442248522888
      15    124.02412373    -76.443987358257      0.001738445630    -76.442248912627
      16    132.29239864    -76.444400441668      0.002150625340    -76.442249816328
      17    140.56067356    -76.445136837755      0.002885557709    -76.442251280045
      18    148.82894847    -76.446173273913      0.003919895071    -76.442253378842
      19    157.09722339    -76.447476670608      0.005220457560    -76.442256213048
      20    165.36549830    -76.449002821036      0.006742919770    -76.442259901266
      21    173.63377322    -76.450694864573      0.008430296110    -76.442264568463
      22    181.90204813    -76.452481751686      0.010211424121    -76.442270327565
      23    190.17032305    -76.454277024859      0.011999774012    -76.442277250847
      24    198.43859796    -76.455978420286      0.013693099393    -76.442285320893
      25    206.70687288    -76.457469038690      0.015174688879    -76.442294349811
      26    214.97514779    -76.458621133429      0.016317255556    -76.442303877873
      27    223.24342271    -76.459303819756      0.016990718332    -76.442313101424
      28    231.51169762    -76.459395985004      0.017075148833    -76.442320836171
      29    239.77997254    -76.458805159946      0.016479664435    -76.442325495510
      30    248.04824745    -76.457491931282      0.015166731010    -76.442325200271
      31    256.31652237    -76.455497164019      0.013178948876    -76.442318215143
      32    264.58479729    -76.452965661408      0.010661985033    -76.442303676375
      33    272.85307220    -76.450156209405      0.007873853801    -76.442282355604
      34    281.12134712    -76.447426638935      0.005169450851    -76.442257188083
      35    289.38962203    -76.445186193810      0.002953034124    -76.442233159686
      36    297.65789695    -76.443818054108      0.001601899579    -76.442216154528
      37    305.92617186    -76.443590163957      0.001379233040    -76.442210930917
      38    314.19444678    -76.444584213311      0.002365051750    -76.442219161560
