# w J_total  J_DrudeLorentz  J_BrownianOscillator
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.001000500250125214e+00 1.080146227081888011e+00 9.826966853973381211e-01 9.744954168454997290e-02
4.002001000500250427e+00 2.160254833653311390e+00 1.965345192118676199e+00 1.949096415346352196e-01
6.003001500750375641e+00 3.240288209839846001e+00 2.947897349361212616e+00 2.923908604786335519e-01
8.004002001000500854e+00 4.320208767037750697e+00 3.930305002065843656e+00 3.899037649719066523e-01
1.000500250125062607e+01 5.399978948545796520e+00 4.912520018782256415e+00 4.874589297635401053e-01
1.200600300150075128e+01 6.479561240192909466e+00 5.894494299525925740e+00 5.850669406669838368e-01
1.400700350175087650e+01 7.558918180960219502e+00 6.876179783624322361e+00 6.827383973358975844e-01
1.600800400200100171e+01 8.638012373596147597e+00 7.857528457549639356e+00 7.804839160465079084e-01
1.800900450225112692e+01 9.716806495223162088e+00 8.838492362735365759e+00 8.783141324877955514e-01
2.001000500250125214e+01 1.079526330793485656e+01 9.819023603374036568e+00 9.762397045608204316e-01
2.201100550275137735e+01 1.187334566938203473e+01 1.079907435419350925e+01 1.074271315188524811e+00
2.401200600300150256e+01 1.295101654334642838e+01 1.177859686820909602e+01 1.172419675137332584e+00
2.601300650325162778e+01 1.402823901030085985e+01 1.275754348444896280e+01 1.270695525851896601e+00
2.801400700350175299e+01 1.510497627795447784e+01 1.373586663565013843e+01 1.369109642304338736e+00
3.001500750375187820e+01 1.618119169178192251e+01 1.471351885592257247e+01 1.467672835859348490e+00
3.201600800400200342e+01 1.725684874553513382e+01 1.569045278837861979e+01 1.566395957156512697e+00
3.401700850425213218e+01 1.833191109173670696e+01 1.666662119272545439e+01 1.665289899011252128e+00
3.601800900450225384e+01 1.940634255215356418e+01 1.764197695281777811e+01 1.764365599335786960e+00
3.801900950475237551e+01 2.048010712824996915e+01 1.861647308416845448e+01 1.863634044081513563e+00
4.002001000500250427e+01 2.155316901161869225e+01 1.959006274141443882e+01 1.963106270204252546e+00
4.202101050525263304e+01 2.262549259438935678e+01 2.056269922573556386e+01 2.062793368653791148e+00
4.402201100550275470e+01 2.369704247961305654e+01 2.153433599222385908e+01 2.162706487389198351e+00
4.602301150575287636e+01 2.476778349162223947e+01 2.250492665720085128e+01 2.262856834421388186e+00
4.802401200600300513e+01 2.583768068636499748e+01 2.347442500548055833e+01 2.363255680884437382e+00
5.002501250625313389e+01 2.690669936171294907e+01 2.444278499757577094e+01 2.463914364137177682e+00
5.202601300650325555e+01 2.797480506774196130e+01 2.540996077684534882e+01 2.564844290896614254e+00
5.402701350675337721e+01 2.904196361698501505e+01 2.637590667658027854e+01 2.666056940404736952e+00
5.602801400700350598e+01 3.010814109465645316e+01 2.734057722702612736e+01 2.767563867630326691e+00
5.802901450725363475e+01 3.117330386884719573e+01 2.830392716233983919e+01 2.869376706507355657e+00
6.003001500750375641e+01 3.223741860069020504e+01 2.926591142747854946e+01 2.971507173211658248e+00
6.203101550775387807e+01 3.330045225449600110e+01 3.022648518501846127e+01 3.073967069477538505e+00
6.403201600800400684e+01 3.436237210785748175e+01 3.118560382190148061e+01 3.176768285956000692e+00
6.603301650825413560e+01 3.542314576172410767e+01 3.214322295610772784e+01 3.279922805616378501e+00
6.803401700850426437e+01 3.648274115044490173e+01 3.309929844325180426e+01 3.383442707193100141e+00
7.003501750875437892e+01 3.754112655178037983e+01 3.405378638310097017e+01 3.487340168679406993e+00
7.203601800900450769e+01 3.859827059688299755e+01 3.500664312601312389e+01 3.591627470869871441e+00
7.403701850925463646e+01 3.965414228024645382e+01 3.595782527929286942e+01 3.696317000953583509e+00
7.603801900950475101e+01 4.070871096962363822e+01 3.690728971346372589e+01 3.801421256159915441e+00
7.803901950975487978e+01 4.176194641591368395e+01 3.785499356845485153e+01 3.906952847458831535e+00
8.004002001000500854e+01 4.281381876301792033e+01 3.880089425970017913e+01 4.012924503317742975e+00
8.204102051025513731e+01 4.386429855766571251e+01 3.974494948414879048e+01 4.119349073516924697e+00
8.404202101050526608e+01 4.491335675921001069e+01 4.068711722618439097e+01 4.226239533025617057e+00
