# w  J_DrudeLorentz  J_BrownianOscillator  J_total
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.001000500250125214e+00 1.097064887910626618e+00 9.826966853973381211e-01 1.143682025132884972e-01
4.002001000500250427e+00 2.194096014266856187e+00 1.965345192118676199e+00 2.287508221481802106e-01
6.003001500750375641e+00 3.291059629747802528e+00 2.947897349361212616e+00 3.431622803865898574e-01
8.004002001000500854e+00 4.387922009499248155e+00 3.930305002065843656e+00 4.576170074334044990e-01
1.000500250125062607e+01 5.484649465366102206e+00 4.912520018782256415e+00 5.721294465838457910e-01
1.200600300150075128e+01 6.581208358123813440e+00 5.894494299525925740e+00 6.867140585978880329e-01
1.400700350175087650e+01 7.677565109708415214e+00 6.876179783624322361e+00 8.013853260840927417e-01
1.600800400200100171e+01 8.773686215444870484e+00 7.857528457549639356e+00 9.161577578952312395e-01
1.800900450225112692e+01 9.869538256273436616e+00 8.838492362735365759e+00 1.031045893538070413e+00
2.001000500250125214e+01 1.096508791097374669e+01 9.819023603374036568e+00 1.146064307599710563e+00
2.201100550275137735e+01 1.206030196838639768e+01 1.079907435419350925e+01 1.261227614192887980e+00
2.401200600300150256e+01 1.315514733963174265e+01 1.177859686820909602e+01 1.376550471422645971e+00
2.601300650325162778e+01 1.424959107032579020e+01 1.275754348444896280e+01 1.492047585876828064e+00
2.801400700350175299e+01 1.534360035279297563e+01 1.373586663565013843e+01 1.607733717142836305e+00
3.001500750375187820e+01 1.643714253827571170e+01 1.471351885592257247e+01 1.723623682353139230e+00
3.201600800400200342e+01 1.753018514914064951e+01 1.569045278837861979e+01 1.839732360762029728e+00
3.401700850425213218e+01 1.862269589108161583e+01 1.666662119272545439e+01 1.956074698356161434e+00
3.601800900450225384e+01 1.971464266531919662e+01 1.764197695281777811e+01 2.072665712501418955e+00
3.801900950475237551e+01 2.080599358079714989e+01 1.861647308416845448e+01 2.189520496628697188e+00
4.002001000500250427e+01 2.189671696637567067e+01 1.959006274141443882e+01 2.306654224961232735e+00
4.202101050525263304e+01 2.298678138302167184e+01 2.056269922573556386e+01 2.424082157286106209e+00
4.402201100550275470e+01 2.407615563599649278e+01 2.153433599222385908e+01 2.541819643772632809e+00
4.602301150575287636e+01 2.516480878704120272e+01 2.250492665720085128e+01 2.659882129840352771e+00
4.802401200600300513e+01 2.625271016655995737e+01 2.347442500548055833e+01 2.778285161079398602e+00
5.002501250625313389e+01 2.733982938580181354e+01 2.444278499757577094e+01 2.897044388226043488e+00
5.202601300650325555e+01 2.842613634904165210e+01 2.540996077684534882e+01 3.016175572196303722e+00
5.402701350675337721e+01 2.951160126576076692e+01 2.637590667658027854e+01 3.135694589180488823e+00
5.602801400700350598e+01 3.059619466282780209e+01 2.734057722702612736e+01 3.255617435801673398e+00
5.802901450725363475e+01 3.167988739668092535e+01 2.830392716233983919e+01 3.375960234341085275e+00
6.003001500750375641e+01 3.276265066551204086e+01 2.926591142747854946e+01 3.496739238033493624e+00
6.203101550775387807e+01 3.384445602145419940e+01 3.022648518501846127e+01 3.617970836435737247e+00
6.403201600800400684e+01 3.492527538277302313e+01 3.118560382190148061e+01 3.739671560871539846e+00
6.603301650825413560e+01 3.600508104606365833e+01 3.214322295610772784e+01 3.861858089955930051e+00
6.803401700850426437e+01 3.708384569845433987e+01 3.309929844325180426e+01 3.984547255202533389e+00
7.003501750875437892e+01 3.816154242981814093e+01 3.405378638310097017e+01 4.107756046717168985e+00
7.203601800900450769e+01 3.923814474499432947e+01 3.500664312601312389e+01 4.231501618981209134e+00
7.403701850925463646e+01 4.031362657602110744e+01 3.595782527929286942e+01 4.355801296728235350e+00
7.603801900950475101e+01 4.138796229438136010e+01 3.690728971346372589e+01 4.480672580917635095e+00
7.803901950975487978e+01 4.246112672326369619e+01 3.785499356845485153e+01 4.606133154808844665e+00
8.004002001000500854e+01 4.353309514984021433e+01 3.880089425970017913e+01 4.732200890140036087e+00
8.204102051025513731e+01 4.460384333756390873e+01 3.974494948414879048e+01 4.858893853415120923e+00
8.404202101050526608e+01 4.567334753848749074e+01 4.068711722618439097e+01 4.986230312303102430e+00
8.604302151075538063e+01 4.674158450560641853e+01 4.162735576345263411e+01 5.114228742153786200e+00
8.804402201100550940e+01 4.780853150522862904e+01 4.256562367259451207e+01 5.242907832634113419e+00
9.004502251125563816e+01 4.887416632937380712e+01 4.350187983488447685e+01 5.372286494489332043e+00
9.204602301150575272e+01 4.993846730820524726e+01 4.443608344177177827e+01 5.502383866433472548e+00
9.404702351175588149e+01 5.100141332249718573e+01 4.536819400032357663e+01 5.633219322173605548e+00
9.604802401200601025e+01 5.206298381614112714e+01 4.629817133856860067e+01 5.764812477572526461e+00
9.804902451225613902e+01 5.312315880869461893e+01 4.722597561073999373e+01 5.897183197954625200e+00
1.000500250125062678e+02 5.418191890797589849e+01 4.815156730241604777e+01 6.030351605559851613e+00
1.020510255127563823e+02 5.523924532270852694e+01 4.907490723555777379e+01 6.164338087150751377e+00
