t_fs P_1 P_2 Z
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999997780e-01
5.000000000000000000e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000094813e+00
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000055067e+00
1.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000029754e+00
2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999074074e-01
2.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999078515e-01
3.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999243938e-01
3.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000061506e+00
4.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000033751e+00
4.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000013767e+00
5.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999606981e-01
5.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000062839e+00
6.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999843459e-01
6.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999216183e-01
7.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999042988e-01
7.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999998784306e-01
8.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999997729594e-01
8.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999997311040e-01
9.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999998110400e-01
9.500000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999998945288e-01
1.000000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999998936406e-01
1.050000000000000000e+01 2.916640243743015646e-03 9.970833597562569484e-01 9.999999999998799849e-01
1.100000000000000000e+01 1.127222458336750617e-02 9.887277754166324817e-01 9.999999999999650280e-01
1.150000000000000000e+01 2.402007612365603811e-02 9.759799238763439133e-01 9.999999999998756550e-01
1.200000000000000000e+01 3.970078565645576013e-02 9.602992143435442607e-01 9.999999999997837286e-01
1.250000000000000000e+01 5.665766121653627307e-02 9.433423387834637408e-01 9.999999999997634115e-01
1.300000000000000000e+01 7.322812885732964128e-02 9.267718711426703448e-01 9.999999999996663780e-01
1.350000000000000000e+01 8.793010163515388444e-02 9.120698983648460878e-01 9.999999999996449507e-01
1.400000000000000000e+01 9.964316820045161782e-02 9.003568317995483961e-01 9.999999999995388134e-01
1.450000000000000000e+01 1.077512797432975955e-01 8.922487202567024323e-01 9.999999999995988764e-01
1.500000000000000000e+01 1.121974062079613976e-01 8.878025937920386301e-01 9.999999999995811129e-01
1.550000000000000000e+01 1.169309496511056062e-01 8.830690503488943799e-01 1.000000299692218375e+00
1.600000000000000000e+01 1.258000312587690961e-01 8.741999687412309594e-01 1.000001251151006576e+00
1.650000000000000000e+01 1.385540408009758584e-01 8.614459591990242249e-01 1.000003059938517236e+00
1.700000000000000000e+01 1.544447702636687902e-01 8.455552297363312375e-01 1.000005244871767562e+00
1.750000000000000000e+01 1.723519575826431838e-01 8.276480424173567885e-01 1.000006976215951360e+00
