t_fs P_1 P_2 Z
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 4.194636298364768425e-05 9.999580536370162864e-01 1.000000000000095035e+00
1.000000000000000000e+00 1.479486606371581382e-04 9.998520513393628351e-01 1.000000000000055511e+00
1.500000000000000000e+00 2.690610150282310106e-04 9.997309389849716732e-01 1.000000000000030420e+00
2.000000000000000000e+00 3.525968833406864554e-04 9.996474031166593388e-01 9.999999999999086286e-01
2.500000000000000000e+00 3.675227395845315388e-04 9.996324772604154862e-01 9.999999999999090727e-01
3.000000000000000000e+00 3.161828910409975263e-04 9.996838171089590386e-01 9.999999999999250599e-01
3.500000000000000000e+00 2.278978714269124992e-04 9.997721021285730369e-01 1.000000000000060840e+00
4.000000000000000000e+00 1.407108819709853664e-04 9.998592891180289044e-01 1.000000000000032196e+00
4.500000000000000000e+00 8.293260410637715724e-05 9.999170673958936995e-01 1.000000000000011324e+00
5.000000000000000000e+00 6.376803078025775409e-05 9.999362319692197687e-01 9.999999999999577005e-01
5.500000000000000000e+00 2.110813578862558756e-04 9.997889186421137220e-01 9.999999710032209110e-01
6.000000000000000000e+00 5.944400863044184804e-04 9.994055599136956181e-01 9.999999409873118195e-01
6.500000000000000000e+00 1.079546069287679998e-03 9.989204539307122710e-01 9.999999162195380986e-01
7.000000000000000000e+00 1.522838929589831209e-03 9.984771610704101796e-01 9.999998980474005261e-01
7.500000000000000000e+00 1.818724692641157832e-03 9.981812753073587841e-01 9.999998836648488210e-01
8.000000000000000000e+00 1.922908939282453548e-03 9.980770910607175139e-01 9.999998697742190634e-01
8.500000000000000000e+00 1.850376822986295579e-03 9.981496231770137229e-01 9.999998558936733506e-01
9.000000000000000000e+00 1.655626628833525285e-03 9.983443733711664381e-01 9.999998447852870287e-01
9.500000000000000000e+00 1.406621672691008192e-03 9.985933783273089892e-01 9.999998400914354990e-01
1.000000000000000000e+01 1.162782669710002523e-03 9.988372173302899615e-01 9.999998434011321269e-01
1.050000000000000000e+01 2.421088119914811647e-03 9.975789118800851840e-01 9.999997139615142139e-01
1.100000000000000000e+01 6.378014424902318617e-03 9.936219855750976215e-01 9.999996193665230404e-01
1.150000000000000000e+01 1.232897744472175386e-02 9.876710225552782774e-01 9.999995603212128437e-01
1.200000000000000000e+01 1.932794923730157127e-02 9.806720507626984773e-01 9.999995179675370549e-01
1.250000000000000000e+01 2.636921236548618597e-02 9.736307876345138279e-01 9.999994606828522814e-01
1.300000000000000000e+01 3.254752940331238908e-02 9.674524705966875970e-01 9.999993541528540142e-01
1.350000000000000000e+01 3.719457115036933770e-02 9.628054288496307178e-01 9.999991716387948149e-01
1.400000000000000000e+01 3.997549403291454639e-02 9.600245059670854397e-01 9.999989027398834551e-01
1.450000000000000000e+01 4.091669680062998138e-02 9.590833031993699631e-01 9.999985587115411967e-01
1.500000000000000000e+01 4.034804942451710591e-02 9.596519505754829149e-01 9.999981715734500565e-01
1.550000000000000000e+01 4.199402153464035919e-02 9.580059784653597310e-01 9.999979567468088026e-01
1.600000000000000000e+01 4.887936286291059279e-02 9.511206371370893864e-01 9.999977367314021315e-01
1.650000000000000000e+01 5.978267711290183306e-02 9.402173228870981392e-01 9.999976369207170812e-01
1.700000000000000000e+01 7.297217532864511136e-02 9.270278246713548054e-01 9.999976904973761904e-01
1.750000000000000000e+01 8.672332060258483577e-02 9.132766793974151920e-01 9.999978457321588854e-01
1.800000000000000000e+01 9.974228430401492485e-02 9.002577156959851168e-01 9.999980313672292009e-01
1.850000000000000000e+01 1.113543963449697555e-01 8.886456036550303139e-01 9.999982210253980375e-01
1.900000000000000000e+01 1.214321337537643264e-01 8.785678662462357291e-01 9.999984471447744827e-01
1.950000000000000000e+01 1.301614540505183215e-01 8.698385459494817340e-01 9.999987606666577156e-01
2.000000000000000000e+01 1.378002577624334868e-01 8.621997422375664577e-01 9.999991785900395058e-01
2.050000000000000000e+01 1.499368172275605537e-01 8.500631827724394185e-01 9.998999783408321074e-01
2.100000000000000000e+01 1.704211069959778169e-01 8.295788930040222109e-01 9.998969168845799338e-01
2.150000000000000000e+01 1.954957365664662106e-01 8.045042634335337617e-01 9.998958657787344606e-01
2.200000000000000000e+01 2.211596656433543473e-01 7.788403343566456805e-01 9.998964998964365858e-01
2.250000000000000000e+01 2.440549238330687876e-01 7.559450761669311847e-01 9.998980190969305459e-01
2.300000000000000000e+01 2.621160197562895644e-01 7.378839802437103801e-01 9.998994340271630810e-01
2.350000000000000000e+01 2.747865293868778647e-01 7.252134706131221353e-01 9.998998893529902343e-01
2.400000000000000000e+01 2.828091654956711998e-01 7.171908345043287447e-01 9.998989137270817285e-01
2.450000000000000000e+01 2.877234268407297679e-01 7.122765731592701766e-01 9.998965118573558408e-01
2.500000000000000000e+01 2.912808904364463380e-01 7.087191095635536620e-01 9.998930843144954173e-01
2.550000000000000000e+01 2.977558778154148489e-01 7.022441221845852066e-01 9.998892230271344550e-01
2.600000000000000000e+01 3.105063036762832351e-01 6.894936963237167094e-01 9.998870277189892963e-01
2.650000000000000000e+01 3.288454575027743298e-01 6.711545424972256146e-01 9.998865514104335883e-01
2.700000000000000000e+01 3.511138400526681025e-01 6.488861599473318975e-01 9.998874267254754811e-01
2.750000000000000000e+01 3.750196529578203597e-01 6.249803470421795293e-01 9.998890837141602983e-01
2.800000000000000000e+01 3.980387513431645763e-01 6.019612486568354237e-01 9.998909264345916537e-01
2.850000000000000000e+01 4.178717648535680840e-01 5.821282351464319715e-01 9.998924209589321599e-01
2.900000000000000000e+01 4.328888476666769014e-01 5.671111523333230986e-01 9.998931253989535861e-01
2.950000000000000000e+01 4.424338779223971341e-01 5.575661220776028104e-01 9.998927103632565538e-01
3.000000000000000000e+01 4.468791156810725251e-01 5.531208843189274749e-01 9.998909841224274953e-01
3.050000000000000000e+01 4.485217442396292054e-01 5.514782557603707946e-01 9.998875098652773019e-01
3.100000000000000000e+01 4.498270380970880167e-01 5.501729619029119833e-01 9.998828038397984397e-01
3.150000000000000000e+01 4.517137610542177328e-01 5.482862389457822117e-01 9.998771192795544716e-01
3.200000000000000000e+01 4.545033090404930753e-01 5.454966909595069247e-01 9.998705747874431227e-01
3.250000000000000000e+01 4.580177490543760332e-01 5.419822509456240223e-01 9.998631235974605458e-01
3.300000000000000000e+01 4.618295681927635510e-01 5.381704318072364490e-01 9.998546423168110930e-01
3.350000000000000000e+01 4.655069894089293170e-01 5.344930105910706830e-01 9.998450441651249854e-01
3.400000000000000000e+01 4.687584394840209612e-01 5.312415605159790388e-01 9.998343246991791000e-01
3.450000000000000000e+01 4.714629798216340428e-01 5.285370201783659017e-01 9.998225281127302022e-01
3.500000000000000000e+01 4.736244765164973614e-01 5.263755234835025831e-01 9.998097015340459137e-01
3.550000000000000000e+01 4.763207427441689124e-01 5.236792572558309766e-01 9.997964725797217067e-01
3.600000000000000000e+01 4.804099539404393382e-01 5.195900460595606063e-01 9.997825080431819167e-01
3.650000000000000000e+01 4.853140310393828094e-01 5.146859689606171351e-01 9.997684300057736451e-01
3.700000000000000000e+01 4.902502421360472873e-01 5.097497578639527127e-01 9.997554081952457761e-01
3.750000000000000000e+01 4.945019352052635320e-01 5.054980647947364680e-01 9.997451663655410048e-01
3.800000000000000000e+01 4.976167593758383245e-01 5.023832406241617310e-01 9.997398410781452860e-01
3.850000000000000000e+01 4.994707847424700864e-01 5.005292152575298026e-01 9.997417406579511834e-01
3.900000000000000000e+01 5.002115758616800800e-01 4.997884241383199200e-01 9.997530462617955083e-01
3.950000000000000000e+01 5.001404931430322165e-01 4.998595068569677835e-01 9.997754788597266185e-01
4.000000000000000000e+01 4.995971471076934289e-01 5.004028528923065711e-01 9.998099726937242915e-01
4.050000000000000000e+01 5.000861730890712176e-01 4.999138269109287269e-01 9.998563132626536731e-01
4.100000000000000000e+01 5.024646251148385812e-01 4.975353748851614188e-01 9.999132450333464428e-01
4.150000000000000000e+01 5.059889433702573491e-01 4.940110566297425954e-01 9.999783982942981320e-01
4.200000000000000000e+01 5.099941513631799372e-01 4.900058486368199517e-01 1.000048521202852481e+00
4.250000000000000000e+01 5.140227891374493652e-01 4.859772108625506903e-01 1.000119825574215859e+00
4.300000000000000000e+01 5.178254431122182311e-01 4.821745568877818799e-01 1.000188443775293923e+00
4.350000000000000000e+01 5.212868154338343718e-01 4.787131845661656282e-01 1.000250920307711233e+00
4.400000000000000000e+01 5.243412488350888134e-01 4.756587511649111311e-01 1.000304626009103526e+00
4.450000000000000000e+01 5.269220180970831668e-01 4.730779819029168332e-01 1.000348001630712913e+00
4.500000000000000000e+01 5.289565429245622896e-01 4.710434570754376549e-01 1.000380598713781932e+00
4.550000000000000000e+01 5.311586754707805502e-01 4.688413245292194498e-01 1.000403521219181746e+00
4.600000000000000000e+01 5.342157714750443986e-01 4.657842285249556014e-01 1.000417505822834396e+00
4.650000000000000000e+01 5.380473573955568689e-01 4.619526426044430201e-01 1.000424119607126183e+00
4.700000000000000000e+01 5.425213535377101381e-01 4.574786464622898063e-01 1.000425035334481905e+00
4.750000000000000000e+01 5.473686560685407931e-01 4.526313439314593734e-01 1.000421802154003004e+00
4.800000000000000000e+01 5.521653339957123263e-01 4.478346660042877292e-01 1.000415689831327892e+00
4.850000000000000000e+01 5.564041828450942972e-01 4.435958171549056472e-01 1.000407590386022560e+00
