t_fs P_S1 P_S2
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 9.189249999999999502e-03 9.908107499999999623e-01
1.000000000000000000e+00 3.213334999999999803e-02 9.678666500000000505e-01
1.500000000000000000e+00 5.775003000000000081e-02 9.422499699999999923e-01
2.000000000000000000e+00 7.492751000000000272e-02 9.250724900000000250e-01
2.500000000000000000e+00 7.830030000000000323e-02 9.216997000000000106e-01
3.000000000000000000e+00 6.995394000000000612e-02 9.300460600000000078e-01
3.500000000000000000e+00 5.676205000000000139e-02 9.432379499999999917e-01
4.000000000000000000e+00 4.583646999999999722e-02 9.541635299999999820e-01
4.500000000000000000e+00 4.112388000000000154e-02 9.588761199999999985e-01
5.000000000000000000e+00 4.266546999999999701e-02 9.573345300000000169e-01
5.500000000000000000e+00 4.803190000000000237e-02 9.519680999999999838e-01
6.000000000000000000e+00 5.439962000000000270e-02 9.456003800000000181e-01
6.500000000000000000e+00 5.996868000000000337e-02 9.400313200000000036e-01
7.000000000000000000e+00 6.430399000000000531e-02 9.356960100000000224e-01
7.500000000000000000e+00 6.792009999999999714e-02 9.320798999999999612e-01
8.000000000000000000e+00 7.166126999999999914e-02 9.283387300000000009e-01
8.500000000000000000e+00 7.625832999999999917e-02 9.237416699999999592e-01
9.000000000000000000e+00 8.216371999999999565e-02 9.178362799999999488e-01
9.500000000000000000e+00 8.958162999999999543e-02 9.104183700000000323e-01
1.000000000000000000e+01 9.856682999999999417e-02 9.014331700000000058e-01
1.050000000000000000e+01 1.091133700000000012e-01 8.908866300000000127e-01
1.100000000000000000e+01 1.211888500000000007e-01 8.788111499999999854e-01
1.150000000000000000e+01 1.347170299999999876e-01 8.652829699999999846e-01
1.200000000000000000e+01 1.495821900000000038e-01 8.504178100000000518e-01
1.250000000000000000e+01 1.656137199999999920e-01 8.343862800000000357e-01
1.300000000000000000e+01 1.825716500000000020e-01 8.174283500000000258e-01
1.350000000000000000e+01 2.001574399999999920e-01 7.998425599999999802e-01
1.400000000000000000e+01 2.180423700000000131e-01 7.819576299999999591e-01
1.450000000000000000e+01 2.358825800000000084e-01 7.641174200000000472e-01
1.500000000000000000e+01 2.533174400000000048e-01 7.466825599999999952e-01
1.550000000000000000e+01 2.699906599999999934e-01 7.300093399999999511e-01
1.600000000000000000e+01 2.856005999999999823e-01 7.143994000000000177e-01
1.650000000000000000e+01 2.999381600000000092e-01 7.000618400000000463e-01
1.700000000000000000e+01 3.128959499999999783e-01 6.871040499999999662e-01
1.750000000000000000e+01 3.244758099999999756e-01 6.755241899999999688e-01
1.800000000000000000e+01 3.348008900000000176e-01 6.651991099999999824e-01
1.850000000000000000e+01 3.441147299999999798e-01 6.558852699999999647e-01
1.900000000000000000e+01 3.527586400000000122e-01 6.472413599999999878e-01
1.950000000000000000e+01 3.611303499999999889e-01 6.388696499999999556e-01
2.000000000000000000e+01 3.696381599999999934e-01 6.303618399999999511e-01
2.050000000000000000e+01 3.786616600000000110e-01 6.213383399999999890e-01
2.100000000000000000e+01 3.885146099999999825e-01 6.114853900000000175e-01
2.150000000000000000e+01 3.994130100000000128e-01 6.005869900000000428e-01
2.200000000000000000e+01 4.114557899999999879e-01 5.885442100000000121e-01
2.250000000000000000e+01 4.246183700000000227e-01 5.753816299999999773e-01
2.300000000000000000e+01 4.387721600000000222e-01 5.612278400000000333e-01
2.350000000000000000e+01 4.537210600000000094e-01 5.462789399999999906e-01
2.400000000000000000e+01 4.692026999999999726e-01 5.307973000000000274e-01
2.450000000000000000e+01 4.848728099999999874e-01 5.151271899999999571e-01
2.500000000000000000e+01 5.003719300000000203e-01 4.996280699999999797e-01
2.550000000000000000e+01 5.154463700000000426e-01 4.845536300000000129e-01
2.600000000000000000e+01 5.299726299999999446e-01 4.700273699999999999e-01
2.650000000000000000e+01 5.438890299999999955e-01 4.561109700000000045e-01
2.700000000000000000e+01 5.571676899999999932e-01 4.428323100000000068e-01
2.750000000000000000e+01 5.698292499999999539e-01 4.301707499999999906e-01
2.800000000000000000e+01 5.819353400000000232e-01 4.180646599999999768e-01
2.850000000000000000e+01 5.935698499999999544e-01 4.064301499999999900e-01
2.900000000000000000e+01 6.047987900000000305e-01 3.952012100000000250e-01
2.950000000000000000e+01 6.156055499999999459e-01 3.843944499999999986e-01
3.000000000000000000e+01 6.259228599999999698e-01 3.740771399999999747e-01
