t_fs P_1 P_2 Z
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999997780e-01
5.000000000000000000e-01 1.878262297849622037e-04 9.998121737702150291e-01 1.000000000000094591e+00
1.000000000000000000e+00 6.728044011703596724e-04 9.993271955988296540e-01 1.000000000000053735e+00
1.500000000000000000e+00 1.255942974178087066e-03 9.987440570258219186e-01 1.000000000000028644e+00
2.000000000000000000e+00 1.709078719450052427e-03 9.982909212805499699e-01 9.999999999999041878e-01
2.500000000000000000e+00 1.875837965998774018e-03 9.981241620340012277e-01 9.999999999999046318e-01
3.000000000000000000e+00 1.733420545883781593e-03 9.982665794541162319e-01 9.999999999999206191e-01
3.500000000000000000e+00 1.387522949318403592e-03 9.986124770506815684e-01 1.000000000000057510e+00
4.000000000000000000e+00 1.007401265404854343e-03 9.989925987345952274e-01 1.000000000000028422e+00
4.500000000000000000e+00 7.383961757525492288e-04 9.992616038242474463e-01 1.000000000000009992e+00
5.000000000000000000e+00 6.391448231032685048e-04 9.993608551768967674e-01 9.999999999999580336e-01
5.500000000000000000e+00 1.466299829004237554e-03 9.985337001709958527e-01 1.000001254546040608e+00
6.000000000000000000e+00 3.475108979553721313e-03 9.965248910204462796e-01 1.000002212855113370e+00
6.500000000000000000e+00 5.813055829994595754e-03 9.941869441700053045e-01 1.000002739717819500e+00
7.000000000000000000e+00 7.810052767178047271e-03 9.921899472328220559e-01 1.000003008709353880e+00
7.500000000000000000e+00 9.135876360646361105e-03 9.908641236393536111e-01 1.000003246255438905e+00
8.000000000000000000e+00 9.747215070146806812e-03 9.902527849298532470e-01 1.000003506791346641e+00
8.500000000000000000e+00 9.751592783365676045e-03 9.902484072166343188e-01 1.000003676144894049e+00
9.000000000000000000e+00 9.302949233405174989e-03 9.906970507665947556e-01 1.000003632157337785e+00
9.500000000000000000e+00 8.565276356159471846e-03 9.914347236438405542e-01 1.000003360222885718e+00
1.000000000000000000e+01 7.712401942254787889e-03 9.922875980577451349e-01 1.000002939366287924e+00
1.050000000000000000e+01 9.855850815343925389e-03 9.901441491846560972e-01 1.000002558392145247e+00
1.100000000000000000e+01 1.736288280713629145e-02 9.826371171928637294e-01 1.000002997412145600e+00
1.150000000000000000e+01 2.878177371016185995e-02 9.712182262898381158e-01 1.000003707686015764e+00
1.200000000000000000e+01 4.233972368292358152e-02 9.576602763170763977e-01 1.000004369224232637e+00
1.250000000000000000e+01 5.632828007645934720e-02 9.436717199235407083e-01 1.000005088304244838e+00
1.300000000000000000e+01 6.939023406278505002e-02 9.306097659372148945e-01 1.000006185377973145e+00
1.350000000000000000e+01 8.068360439627517144e-02 9.193163956037249118e-01 1.000007797041171376e+00
1.400000000000000000e+01 8.989697784116937318e-02 9.101030221588307656e-01 1.000009642008775179e+00
1.450000000000000000e+01 9.711259234199054458e-02 9.028874076580094554e-01 1.000011119605993537e+00
1.500000000000000000e+01 1.025703465992096330e-01 8.974296534007905057e-01 1.000011634714246922e+00
1.550000000000000000e+01 1.098049034640590366e-01 8.901950965359408663e-01 1.000012429674325132e+00
1.600000000000000000e+01 1.218227795095392779e-01 8.781772204904606527e-01 1.000012005699624895e+00
1.650000000000000000e+01 1.374071359159376726e-01 8.625928640840624384e-01 1.000011830466102314e+00
1.700000000000000000e+01 1.548634389989003157e-01 8.451365610010997953e-01 1.000012608879944587e+00
1.750000000000000000e+01 1.724944694903095821e-01 8.275055305096904457e-01 1.000013996046109410e+00
1.800000000000000000e+01 1.889816112994290587e-01 8.110183887005709691e-01 1.000015117430575584e+00
1.850000000000000000e+01 2.036085004001013665e-01 7.963914995998986335e-01 1.000015393143594000e+00
1.900000000000000000e+01 2.163149091463706652e-01 7.836850908536292515e-01 1.000014962384008887e+00
1.950000000000000000e+01 2.275806290805958421e-01 7.724193709194041579e-01 1.000014423171586619e+00
2.000000000000000000e+01 2.381478709590013343e-01 7.618521290409986380e-01 1.000014249421492973e+00
2.050000000000000000e+01 2.532042279210656721e-01 7.467957720789343279e-01 1.000008302934502602e+00
2.100000000000000000e+01 2.768518941355287422e-01 7.231481058644713134e-01 1.000007201192351536e+00
2.150000000000000000e+01 3.066851700061778985e-01 6.933148299938221015e-01 1.000008620824242689e+00
2.200000000000000000e+01 3.389250455200638057e-01 6.610749544799361388e-01 1.000010003504665956e+00
2.250000000000000000e+01 3.694307050178243790e-01 6.305692949821756210e-01 1.000010740406394705e+00
2.300000000000000000e+01 3.947412336130472488e-01 6.052587663869528622e-01 1.000012357560228882e+00
2.350000000000000000e+01 4.128390751279443216e-01 5.871609248720556229e-01 1.000017223234331398e+00
2.400000000000000000e+01 4.234459383088008400e-01 5.765540616911990490e-01 1.000027172318090685e+00
2.450000000000000000e+01 4.278371660653543795e-01 5.721628339346456205e-01 1.000042861578328335e+00
2.500000000000000000e+01 4.283170172961828781e-01 5.716829827038172329e-01 1.000063796124843529e+00
2.550000000000000000e+01 4.327111483660888713e-01 5.672888516339109621e-01 1.000086559059795377e+00
2.600000000000000000e+01 4.493034913270126940e-01 5.506965086729873615e-01 1.000106764722678232e+00
2.650000000000000000e+01 4.783347186897172754e-01 5.216652813102827801e-01 1.000121008317025550e+00
2.700000000000000000e+01 5.159931957494464649e-01 4.840068042505534796e-01 1.000126987302862647e+00
2.750000000000000000e+01 5.557279522542688532e-01 4.442720477457312578e-01 1.000124684208359760e+00
2.800000000000000000e+01 5.904971792144766418e-01 4.095028207855234137e-01 1.000115829524870881e+00
2.850000000000000000e+01 6.151104737111345866e-01 3.848895262888653579e-01 1.000102259050257514e+00
2.900000000000000000e+01 6.277915973208548772e-01 3.722084026791450118e-01 1.000084927198660045e+00
2.950000000000000000e+01 6.304249862506589031e-01 3.695750137493411525e-01 1.000064291102286340e+00
3.000000000000000000e+01 6.274980969117200935e-01 3.725019030882799065e-01 1.000041032243370820e+00
3.050000000000000000e+01 6.261131046536029254e-01 3.738868953463970746e-01 1.000021809135695383e+00
3.100000000000000000e+01 6.318596576339444715e-01 3.681403423660555840e-01 9.999983821116347205e-01
3.150000000000000000e+01 6.453565614425552655e-01 3.546434385574447345e-01 9.999688527996829501e-01
3.200000000000000000e+01 6.641883041932967746e-01 3.358116958067032254e-01 9.999321296612253551e-01
3.250000000000000000e+01 6.840873060153257468e-01 3.159126939846741977e-01 9.998891070820506988e-01
3.300000000000000000e+01 7.006824329230921800e-01 2.993175670769078756e-01 9.998422803466218145e-01
3.350000000000000000e+01 7.111013236648229263e-01 2.888986763351771292e-01 9.997939274202437554e-01
3.400000000000000000e+01 7.148005597997816318e-01 2.851994402002184237e-01 9.997445590677349614e-01
3.450000000000000000e+01 7.133561144873740156e-01 2.866438855126260399e-01 9.996930740455463038e-01
3.500000000000000000e+01 7.094413132963447444e-01 2.905586867036553667e-01 9.996381428527396640e-01
3.550000000000000000e+01 7.073278811710789205e-01 2.926721188289210240e-01 9.995800208583811575e-01
3.600000000000000000e+01 7.098205328836468819e-01 2.901794671163530626e-01 9.995182996775904272e-01
3.650000000000000000e+01 7.162906621066169599e-01 2.837093378933830401e-01 9.994500648710693547e-01
3.700000000000000000e+01 7.250952411952453769e-01 2.749047588047546786e-01 9.993710438902914106e-01
3.750000000000000000e+01 7.342955573964200511e-01 2.657044426035800599e-01 9.992767599038767656e-01
3.800000000000000000e+01 7.422605957395506104e-01 2.577394042604494451e-01 9.991640416380633827e-01
3.850000000000000000e+01 7.480247375928800180e-01 2.519752624071200375e-01 9.990323621101020457e-01
3.900000000000000000e+01 7.513535814587882777e-01 2.486464185412117500e-01 9.988850364844465979e-01
3.950000000000000000e+01 7.525742745498152919e-01 2.474257254501847081e-01 9.987302440617314980e-01
4.000000000000000000e+01 7.523074258108152224e-01 2.476925741891847776e-01 9.985813198154386283e-01
4.050000000000000000e+01 7.525987810695792257e-01 2.474012189304208020e-01 9.984469058610128123e-01
4.100000000000000000e+01 7.547215952333518052e-01 2.452784047666482226e-01 9.983554121182234287e-01
4.150000000000000000e+01 7.581037351889694520e-01 2.418962648110305758e-01 9.983232966711562684e-01
4.200000000000000000e+01 7.621957947965992686e-01 2.378042052034006759e-01 9.983617471270402888e-01
4.250000000000000000e+01 7.665681173454023112e-01 2.334318826545976888e-01 9.984741630686504443e-01
4.300000000000000000e+01 7.709222357690614924e-01 2.290777642309385631e-01 9.986545803607557170e-01
4.350000000000000000e+01 7.750610338788515019e-01 2.249389661211484981e-01 9.988875534480965435e-01
4.400000000000000000e+01 7.788512464970965832e-01 2.211487535029033891e-01 9.991500571277465159e-01
4.450000000000000000e+01 7.821904153145767813e-01 2.178095846854231910e-01 9.994157636886442653e-01
4.500000000000000000e+01 7.849802740184009808e-01 2.150197259815990747e-01 9.996610092866771158e-01
4.550000000000000000e+01 7.876522839665420772e-01 2.123477160334579228e-01 9.998641952755147333e-01
4.600000000000000000e+01 7.905537583022528292e-01 2.094462416977470598e-01 1.000028895264906792e+00
4.650000000000000000e+01 7.934338706465853264e-01 2.065661293534146181e-01 1.000161527499388914e+00
4.700000000000000000e+01 7.960784642273629474e-01 2.039215357726371081e-01 1.000275154508099007e+00
4.750000000000000000e+01 7.983710521691853579e-01 2.016289478308146144e-01 1.000386341397224044e+00
4.800000000000000000e+01 8.003291749789698262e-01 1.996708250210300351e-01 1.000512420139350489e+00
4.850000000000000000e+01 8.021005575166616497e-01 1.978994424833382948e-01 1.000667603714435527e+00
4.900000000000000000e+01 8.039123513513064534e-01 1.960876486486934078e-01 1.000857339284338732e+00
4.950000000000000000e+01 8.059864364175663987e-01 1.940135635824336569e-01 1.001073276554630409e+00
5.000000000000000000e+01 8.084480260780926297e-01 1.915519739219073980e-01 1.001292713427481829e+00
5.050000000000000000e+01 8.118964648492201786e-01 1.881035351507799325e-01 1.001486330226513122e+00
5.100000000000000000e+01 8.166481481113669894e-01 1.833518518886329274e-01 1.001620028111094074e+00
5.150000000000000000e+01 8.221014553187814267e-01 1.778985446812185178e-01 1.001670310629350524e+00
5.200000000000000000e+01 8.275247352625050290e-01 1.724752647374949155e-01 1.001625669931513363e+00
5.250000000000000000e+01 8.322078610323944137e-01 1.677921389676055863e-01 1.001486941473339609e+00
5.300000000000000000e+01 8.356077279609044339e-01 1.643922720390956216e-01 1.001266175065301578e+00
5.350000000000000000e+01 8.374666504041080595e-01 1.625333495958919405e-01 1.000984605178989462e+00
5.400000000000000000e+01 8.378628390079028154e-01 1.621371609920970180e-01 1.000668926118156499e+00
5.450000000000000000e+01 8.371478649316221876e-01 1.628521350683777569e-01 1.000346038839970753e+00
5.500000000000000000e+01 8.357813596990913974e-01 1.642186403009085194e-01 1.000038297319967295e+00
5.550000000000000000e+01 8.343900345685599795e-01 1.656099654314400760e-01 9.997649576284707296e-01
5.600000000000000000e+01 8.333951333234459469e-01 1.666048666765539421e-01 9.995285860904949971e-01
5.650000000000000000e+01 8.328745753366922910e-01 1.671254246633076812e-01 9.993279432223681757e-01
5.700000000000000000e+01 8.329250244652101065e-01 1.670749755347898935e-01 9.991524732923893204e-01
5.750000000000000000e+01 8.335666480225498720e-01 1.664333519774501835e-01 9.989854146466934370e-01
5.800000000000000000e+01 8.345073145212567045e-01 1.654926854787432122e-01 9.988110022384266706e-01
5.850000000000000000e+01 8.351111712886790661e-01 1.648888287113209894e-01 9.986209564034904673e-01
5.900000000000000000e+01 8.348313357729615358e-01 1.651686642270384087e-01 9.984155241723611240e-01
5.950000000000000000e+01 8.338221373488100552e-01 1.661778626511899171e-01 9.981997304134453408e-01
6.000000000000000000e+01 8.329609377161477646e-01 1.670390622838521799e-01 9.979793473273911308e-01
6.050000000000000000e+01 8.330143926190970438e-01 1.669856073809029562e-01 9.977580390933236121e-01
6.100000000000000000e+01 8.335073915400906808e-01 1.664926084599092915e-01 9.975443613744421345e-01
6.150000000000000000e+01 8.329737768136590281e-01 1.670262231863410274e-01 9.973504704875126858e-01
6.200000000000000000e+01 8.309331256246075270e-01 1.690668743753924175e-01 9.971906568224423451e-01
6.250000000000000000e+01 8.291686222988310373e-01 1.708313777011690182e-01 9.970733994019920221e-01
6.300000000000000000e+01 8.302813094288892248e-01 1.697186905711107474e-01 9.969959889351602822e-01
6.350000000000000000e+01 8.343813128754481445e-01 1.656186871245518277e-01 9.969495648653816655e-01
6.400000000000000000e+01 8.376622952439509717e-01 1.623377047560489450e-01 9.969285761986625971e-01
6.450000000000000000e+01 8.354335835606955252e-01 1.645664164393043916e-01 9.969323824859661620e-01
6.500000000000000000e+01 8.272883321770885257e-01 1.727116678229114743e-01 9.969594340495220308e-01
6.550000000000000000e+01 8.189735652999766691e-01 1.810264347000234142e-01 9.970065042864388882e-01
6.600000000000000000e+01 8.176757669275189766e-01 1.823242330724810789e-01 9.970664937941825512e-01
6.650000000000000000e+01 8.251391348950282145e-01 1.748608651049717577e-01 9.971376973576885350e-01
6.700000000000000000e+01 8.354409374135773891e-01 1.645590625864226386e-01 9.972199450491079364e-01
6.750000000000000000e+01 8.394982654950153833e-01 1.605017345049846722e-01 9.973128525121061072e-01
6.800000000000000000e+01 8.324820520359839104e-01 1.675179479640160340e-01 9.974162487927132892e-01
6.850000000000000000e+01 8.176301566167613055e-01 1.823698433832387500e-01 9.975309660098118369e-01
6.900000000000000000e+01 8.035836297515525084e-01 1.964163702484474638e-01 9.976579452275690096e-01
6.950000000000000000e+01 7.979580422689082075e-01 2.020419577310918480e-01 9.977962539902403005e-01
7.000000000000000000e+01 8.023344931584623918e-01 1.976655068415376082e-01 9.979419670139607623e-01
7.050000000000000000e+01 8.121967112054773175e-01 1.878032887945227103e-01 9.980834117012962192e-01
7.100000000000000000e+01 8.204926761380043621e-01 1.795073238619955547e-01 9.982189645042425230e-01
7.150000000000000000e+01 8.219237929729444891e-01 1.780762070270554553e-01 9.983434500332495354e-01
7.200000000000000000e+01 8.156809425462354657e-01 1.843190574537644788e-01 9.984537910360582469e-01
7.250000000000000000e+01 8.048185779652397009e-01 1.951814220347602991e-01 9.985480675871082346e-01
7.300000000000000000e+01 7.935144742251337702e-01 2.064855257748662576e-01 9.986245341427237854e-01
7.350000000000000000e+01 7.842549896457002845e-01 2.157450103542997155e-01 9.986818620896704690e-01
7.400000000000000000e+01 7.766085120418346754e-01 2.233914879581653246e-01 9.987203421832819838e-01
7.450000000000000000e+01 7.679820168851706486e-01 2.320179831148292682e-01 9.987427191753901479e-01
7.500000000000000000e+01 7.555184751680635857e-01 2.444815248319363865e-01 9.987536963287151348e-01
7.550000000000000000e+01 7.389045618948161254e-01 2.610954381051839301e-01 9.987484248142898258e-01
7.600000000000000000e+01 7.197952069757528326e-01 2.802047930242471674e-01 9.987408577639761420e-01
7.650000000000000000e+01 7.000775849273260798e-01 2.999224150726738647e-01 9.987340991165801762e-01
7.700000000000000000e+01 6.819283634839421460e-01 3.180716365160579095e-01 9.987275645265747404e-01
7.750000000000000000e+01 6.668376830686918444e-01 3.331623169313081556e-01 9.987192160377201811e-01
7.800000000000000000e+01 6.551179609387095537e-01 3.448820390612903908e-01 9.987077794482106530e-01
7.850000000000000000e+01 6.460175669094160300e-01 3.539824330905838590e-01 9.986933370942010502e-01
7.900000000000000000e+01 6.382253847914881595e-01 3.617746152085118960e-01 9.986768927250544436e-01
7.950000000000000000e+01 6.304044394928827177e-01 3.695955605071172267e-01 9.986599364870976103e-01
8.000000000000000000e+01 6.214972818202987304e-01 3.785027181797012696e-01 9.986439681215579789e-01
8.050000000000000000e+01 6.121753421741500389e-01 3.878246578258499611e-01 9.987065300778517063e-01
8.100000000000000000e+01 6.032023307234830600e-01 3.967976692765169400e-01 9.987719414667561857e-01
