# t_fs P_donor rate_au
0.000000000000000000e+00 1.309410455584391827e-02 1.048779991203728085e-01
9.999521513021907282e-01 6.378946315071494595e-172 9.430617604737365767e+00
1.999904302604381456e+00 0.000000000000000000e+00 1.296844458466366845e+01
2.999856453906572185e+00 0.000000000000000000e+00 9.145700021888899300e+00
3.999808605208762913e+00 0.000000000000000000e+00 8.725910911144337812e-01
4.999760756510953641e+00 0.000000000000000000e+00 -6.768008801174246969e+00
5.999712907813144369e+00 1.592151950811112629e-295 -9.334110590635480875e+00
6.999665059115335985e+00 5.925051731526304398e-212 -4.654849421037956958e+00
7.999617210417525826e+00 1.744051729819600301e-321 6.100831122493629799e+00
8.999569361719716554e+00 0.000000000000000000e+00 1.730584007500711508e+01
9.999521513021907282e+00 0.000000000000000000e+00 2.223863796085871769e+01
1.099947366432409801e+01 0.000000000000000000e+00 1.750505768006675567e+01
1.199942581562628874e+01 0.000000000000000000e+00 5.791913009897937670e+00
1.299937796692847947e+01 0.000000000000000000e+00 -6.122786464293985098e+00
1.399933011823067197e+01 0.000000000000000000e+00 -1.137289536022507264e+01
1.499928226953286270e+01 0.000000000000000000e+00 -6.667240833756220120e+00
1.599923442083505165e+01 0.000000000000000000e+00 6.490061979158977756e+00
1.699918657213724416e+01 0.000000000000000000e+00 2.275910752606021603e+01
1.799913872343943311e+01 0.000000000000000000e+00 3.333069406481330788e+01
1.899909087474162561e+01 0.000000000000000000e+00 3.192727801123456643e+01
1.999904302604381456e+01 0.000000000000000000e+00 1.877111028508739565e+01
2.099899517734600707e+01 0.000000000000000000e+00 5.857902724381358617e-01
2.199894732864819602e+01 0.000000000000000000e+00 -1.263275872120783205e+01
2.299889947995038497e+01 0.000000000000000000e+00 -1.306195134119806767e+01
2.399885163125257748e+01 0.000000000000000000e+00 -1.594600681631233863e-01
2.499880378255476643e+01 0.000000000000000000e+00 2.060626168142469439e+01
2.599875593385695893e+01 0.000000000000000000e+00 4.000857552999937639e+01
2.699870808515915144e+01 0.000000000000000000e+00 4.750624991728711422e+01
2.799866023646134394e+01 0.000000000000000000e+00 3.834371544416919164e+01
2.899861238776353289e+01 0.000000000000000000e+00 1.707011029716722206e+01
