hyperparameters,Accuracy_score
"('squared_error', 'random', 22, 11, -9.210340371976182)",0.6003073350809963
"('friedman_mse', 'random', 32, 71, -8.846774304661333)",0.5103709835543396
"('absolute_error', 'best', 42, 61, -8.483208237346483)",0.5892920372471051
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036
"('squared_error', 'best', 12, 81, -7.756076102716785)",0.5597435284108597
"('poisson', 'random', 2, 71, -7.392510035401935)",0.5043524255294051
"('friedman_mse', 'random', 2, 91, -7.028943968087086)",0.4652207219134852
"('friedman_mse', 'random', 22, 51, -6.665377900772237)",0.5293292542769301
"('absolute_error', 'random', 22, 41, -6.301811833457387)",0.5556679668349078
"('friedman_mse', 'best', 32, 81, -5.938245766142538)",0.5597435284108597
"('absolute_error', 'best', 22, 1, -5.574679698827689)",0.5285106888451975
"('friedman_mse', 'best', 12, 1, -5.2111136315128395)",0.5254507640884446
"('poisson', 'best', 32, 61, -4.84754756419799)",0.5702118136185736
"('squared_error', 'random', 2, 31, -4.483981496883141)",0.5236401376205894
"('poisson', 'random', 12, 61, -4.1204154295682915)",0.5247862236619415
"('squared_error', 'random', 2, 11, -3.7568493622534422)",0.5836887820127511
"('friedman_mse', 'best', 42, 51, -3.393283294938593)",0.587636505423696
"('absolute_error', 'random', 42, 81, -3.0297172276237436)",0.44753445253372504
"('poisson', 'best', 32, 91, -2.6661511603088943)",0.5505964890968245
"('friedman_mse', 'best', 22, 81, -2.3025850929940455)",0.5597435284108598
"('poisson', 'best', 42, 71, -7.356026897816557)",0.5570251148326053
"('friedman_mse', 'best', 32, 11, -5.855311336886809)",0.5925213569509361
"('absolute_error', 'best', 12, 1, -9.189900573719779)",0.49945082896432147
"('absolute_error', 'best', 32, 81, -9.173776811378927)",0.5731308450794714
"('friedman_mse', 'best', 42, 1, -8.569488104585904)",0.5842729773890517
"('friedman_mse', 'best', 32, 1, -7.463411108968325)",0.5609393355609996
"('poisson', 'random', 42, 21, -4.627787851269569)",0.5785908104116104
"('squared_error', 'best', 32, 41, -7.4124541192341145)",0.5881472845366705
"('friedman_mse', 'random', 42, 11, -8.569488104585904)",0.5857117927160795
"('squared_error', 'random', 42, 81, -8.754707516922712)",0.4872486272020563
"('poisson', 'best', 42, 21, -7.311438382292078)",0.6062327630990059
"('squared_error', 'random', 42, 71, -3.393283294938593)",0.486779087623126
"('squared_error', 'best', 22, 31, -7.36015306784954)",0.599298714350969
"('squared_error', 'random', 12, 71, -7.748857467788066)",0.48257311663583985
"('friedman_mse', 'random', 12, 61, -4.360369962987384)",0.48974681595325975
"('squared_error', 'best', 32, 41, -7.366567631682651)",0.5881472845366705
"('squared_error', 'best', 32, 21, -7.320452839386633)",0.6131077228781036
"('absolute_error', 'random', 42, 41, -3.8683492988413457)",0.5098832371686196
"('friedman_mse', 'best', 42, 1, -8.459698086195464)",0.5817917178590225
"('friedman_mse', 'random', 22, 91, -9.158785411458133)",0.5053506557304558
"('squared_error', 'best', 32, 1, -7.6261158415025925)",0.5656011631868123
"('friedman_mse', 'best', 12, 21, -8.645428349888343)",0.6131077228781036
"('friedman_mse', 'random', 32, 11, -8.312548831848881)",0.5898633009798231
"('friedman_mse', 'best', 32, 21, -7.822467844513648)",0.6131077228781037
"('squared_error', 'random', 22, 81, -7.23994421422073)",0.4762690150086549
"('friedman_mse', 'best', 22, 31, -7.882991474280666)",0.5992987143509689
"('friedman_mse', 'best', 12, 81, -3.931717492290203)",0.5597435284108597
"('friedman_mse', 'best', 22, 81, -7.937679363337712)",0.5597435284108597
"('squared_error', 'best', 42, 21, -7.928650107667784)",0.6131077228781036
"('poisson', 'best', 22, 1, -7.35420948853902)",0.5465602091681983
