hyperparameters,Accuracy_score
"(-9.210340371976182, 0.5)",0.7409275055072115
"(-8.846774304661333, 0.7)",0.7375776311863621
"(-8.483208237346483, 0.7)",0.7336585398200105
"(-8.119642170031634, 0.7)",0.7395518790729934
"(-7.756076102716785, 0.5)",0.7397087382778107
"(-7.392510035401935, 0.4)",0.7378087588554911
"(-7.028943968087086, 0.7)",0.7164124446302155
"(-6.665377900772237, 0.6)",0.7083386834945129
"(-6.301811833457387, 0.7)",0.6980634186684944
"(-5.938245766142538, 0.7)",0.6907772136426964
"(-5.574679698827689, 0.5)",0.6893588172105457
"(-5.2111136315128395, 0.6)",0.6705289006025352
"(-4.84754756419799, 0.6)",0.648120733073264
"(-4.483981496883141, 0.4)",0.649788037714324
"(-4.1204154295682915, 0.7)",0.6132760988616801
"(-3.7568493622534422, 0.6)",0.6072858494063995
"(-3.393283294938593, 0.5)",0.6015270388044378
"(-3.0297172276237436, 0.5)",0.5889753081399284
"(-2.6661511603088943, 0.4)",0.5851218468078817
"(-2.3025850929940455, 0.7)",0.5483737167667913
"(-8.435736362741478, 0.7)",0.7332437640749654
"(-8.647100967106105, 0.4)",0.737750183562745
"(-8.548847048782704, 0.7)",0.7343081944935531
"(-8.643922215358156, 0.5)",0.7370611213898066
"(-8.48690522001011, 0.7)",0.7336922642414909
"(-5.935092668253096, 0.7)",0.6906841880568051
"(-8.655714454979403, 0.4)",0.7378207803982448
"(-8.019967296785998, 0.4)",0.731453751203053
"(-7.473425200433789, 0.5)",0.7353988678332644
"(-7.845930692411811, 0.7)",0.737205831897074
"(-8.40053443189612, 0.7)",0.7332063976900485
"(-9.210340371976182, 0.6)",0.740326734979853
"(-8.53007588214733, 0.5)",0.7361233610246309
"(-9.043083492082584, 0.5)",0.7398407890614016
"(-8.412409006367136, 0.4)",0.7357663873228542
"(-7.581228172152897, 0.7)",0.7299724683947765
"(-7.92741200195982, 0.4)",0.7317628395500866
"(-8.655714454979403, 0.7)",0.7355032061564333
"(-8.619722639684898, 0.5)",0.736879692816335
"(-7.260249890650543, 0.5)",0.7296521902717413
"(-6.175048875900135, 0.6)",0.6982769222055202
"(-8.417059901654955, 0.4)",0.7358085307045692
"(-7.41350998737158, 0.4)",0.7381963159852747
"(-7.991285117105637, 0.7)",0.7396513787226426
"(-9.166259033513976, 0.4)",0.7418118069591628
"(-9.054986418304699, 0.5)",0.7398763848586646
"(-8.817122058044545, 0.4)",0.7389893125884361
"(-8.734013256238804, 0.5)",0.7378114423159912
"(-8.747616050574294, 0.7)",0.7364829663297183
"(-8.081850990091517, 0.5)",0.7327536883696498
