hyperparameters,Accuracy_score
"(93.2, -9.210340371976182)",0.6972875853530146
"(83.4, -8.846774304661333)",0.6993504534063211
"(142.20000000000002, -8.483208237346483)",0.6892478791968224
"(186.3, -8.119642170031634)",0.6840510329235202
"(142.20000000000002, -7.756076102716785)",0.6892478791968224
"(49.1, -7.392510035401935)",0.7086895623992552
"(147.1, -7.028943968087086)",0.6885957827055094
"(107.9, -6.665377900772237)",0.6945288170853203
"(122.60000000000001, -6.301811833457387)",0.692094917541133
"(83.4, -5.938245766142538)",0.6993504534063211
"(117.7, -5.574679698827689)",0.6928744669962681
"(176.5, -5.2111136315128395)",0.6850884971527431
"(161.8, -4.84754756419799)",0.6867615473068115
"(152.0, -4.483981496883141)",0.6879647963284549
"(191.20000000000002, -4.1204154295682915)",0.6835534627627617
"(166.70000000000002, -3.7568493622534422)",0.6861872086466316
"(5.0, -3.393283294938593)",0.7355550240349443
"(132.4, -3.0297172276237436)",0.6906206518411018
"(73.6, -2.6661511603088943)",0.7016341587426892
"(166.70000000000002, -2.3025850929940455)",0.6861872086466316
"(142.20000000000002, -2.695169575513316)",0.6892478791968224
"(112.8, -4.30292951721516)",0.6936849956559589
"(24.6, -3.393283294938593)",0.7191839086996092
"(171.6, -8.982057634986816)",0.6856298090479083
"(24.6, -8.493739281728253)",0.7191839086996092
"(44.2, -8.656386351880506)",0.7104224163035652
"(14.8, -7.251608493359944)",0.7254614175854739
"(49.1, -8.900584985321428)",0.7086895623992552
"(83.4, -8.819128318608094)",0.6993504534063211
"(58.900000000000006, -6.494644777575619)",0.705588283797093
"(9.9, -2.6453434440867465)",0.7296280718938855
"(73.6, -2.7384552968462677)",0.7016341587426892
"(93.2, -7.757920003217198)",0.6972875853530146
"(9.9, -7.681860454470627)",0.7296280718938855
"(9.9, -5.163060582216309)",0.7296280718938855
"(137.3, -7.082224128454707)",0.6899223679981007
"(122.60000000000001, -4.986766327128725)",0.692094917541133
"(44.2, -6.408435344628243)",0.7104224163035652
"(107.9, -8.023940851480258)",0.6945288170853203
"(137.3, -2.315003525857497)",0.6899223679981007
"(147.1, -7.032020578151502)",0.6885957827055094
"(68.7, -8.060995937323918)",0.7028737747205525
"(147.1, -4.606744362849593)",0.6885957827055094
"(156.9, -8.533816794012848)",0.6873537446652818
"(186.3, -6.982117227640339)",0.6840510329235202
"(34.400000000000006, -7.278327080931727)",0.7143639863722346
"(68.7, -5.76194367239847)",0.7028737747205525
"(83.4, -6.321077094701429)",0.6993504534063211
"(152.0, -3.2731908180065084)",0.6879647963284549
"(24.6, -7.434460730080393)",0.7191839086996092
