Best_individual,Fitness_values,Time (hours)
"(5.0, -3.393283294938593)",0.7355550240349443,3.311991691589355e-05
"(5.0, -3.393283294938593)",0.7355550240349443,3.1343367364671494e-05
"(5.0, -3.393283294938593)",0.7355550240349443,2.678705586327447e-05
"(5.0, -3.393283294938593)",0.7355550240349443,2.8795798619588217e-05
"(5.0, -3.393283294938593)",0.7355550240349443,2.8024713198343913e-05
"(5.0, -3.393283294938593)",0.7355550240349443,3.221611181894938e-05
"(5.0, -3.393283294938593)",0.7355550240349443,3.479692671034071e-05
"(5.0, -3.393283294938593)",0.7355550240349443,3.239426347944472e-05
"(5.0, -3.393283294938593)",0.7355550240349443,3.0952294667561847e-05
"(5.0, -3.393283294938593)",0.7355550240349443,2.8357373343573677e-05
