Time,S1_mean,S1_lo,S1_hi
0,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000
50,1.000000,1.000000,1.000000
60,1.000000,1.000000,1.000000
70,1.000000,1.000000,1.000000
80,1.000000,1.000000,1.000000
90,1.000000,1.000000,1.000000
100,1.000000,1.000000,1.000000
110,1.000000,1.000000,1.000000
120,1.000000,1.000000,1.000000
130,1.000000,1.000000,1.000000
140,1.000000,1.000000,1.000000
150,1.000000,1.000000,1.000000
160,1.000000,1.000000,1.000000
170,1.000000,1.000000,1.000000
180,1.000000,1.000000,1.000000
190,1.000000,1.000000,1.000000
200,1.000000,1.000000,1.000000
210,1.000000,1.000000,1.000000
220,0.999949,0.999847,1.000000
230,0.999714,0.999141,1.000000
240,0.999246,0.997738,1.000000
250,0.998726,0.996179,1.000000
260,0.998339,0.995095,1.000000
270,0.997961,0.994254,1.000000
280,0.997490,0.993308,1.000000
290,0.996940,0.992127,1.000000
300,0.996424,0.990866,1.000000
310,0.996040,0.989787,1.000000
320,0.995612,0.988924,0.999923
330,0.994289,0.987298,0.999058
340,0.991318,0.983522,0.997220
350,0.987644,0.978363,0.995294
360,0.984814,0.974451,0.993601
370,0.983277,0.972648,0.992461
380,0.981173,0.971068,0.989937
390,0.977850,0.967875,0.986814
400,0.974856,0.964194,0.984430
410,0.971319,0.959549,0.981671
420,0.966911,0.953750,0.978025
430,0.963259,0.949093,0.975156
440,0.960816,0.945995,0.973578
450,0.959213,0.943938,0.972361
460,0.957893,0.942563,0.971186
470,0.956523,0.941321,0.970211
480,0.955860,0.940647,0.969830
490,0.956097,0.940748,0.970152
500,0.956586,0.941737,0.970392
510,0.959706,0.944955,0.972716
520,0.959733,0.944960,0.972879
530,0.959162,0.944480,0.972251
540,0.959827,0.944617,0.973059
550,0.958449,0.943452,0.971853
560,0.957095,0.941904,0.970925
570,0.958784,0.942774,0.972663
580,0.964977,0.949543,0.978098
590,0.966829,0.950936,0.980264
600,0.971078,0.955140,0.984135
610,0.976984,0.963155,0.988293
620,0.966165,0.933609,0.988089
630,0.966184,0.926393,0.991523
640,0.968928,0.928123,0.994501
650,0.973460,0.934717,0.997223
660,0.976215,0.937561,0.998127
670,0.976224,0.937548,0.998132
680,0.978741,0.941020,1.000005
690,0.978729,0.940954,1.000015
700,0.978714,0.940897,1.000019
710,0.978702,0.940860,1.000019
720,0.978698,0.940849,1.000015
730,0.978701,0.940861,1.000013
740,0.978706,0.940881,1.000017
750,0.978712,0.940885,1.000017
760,0.978129,0.940079,0.999468
770,0.960069,0.904043,1.000024
780,0.959786,0.903484,1.000019
790,0.959732,0.903388,1.000016
800,0.961909,0.905509,1.000041
810,0.961891,0.905493,1.000026
820,0.961847,0.905434,1.000018
830,0.961803,0.905327,1.000027
840,0.961787,0.905272,1.000043
850,0.961781,0.905285,1.000033
860,0.979928,0.940049,1.000075
870,0.979613,0.939691,1.000080
880,0.978976,0.939061,1.000077
890,0.978095,0.938181,1.000065
900,0.977243,0.937293,1.000035
910,0.976597,0.936601,0.999933
920,0.976159,0.936047,0.999798
930,0.975903,0.935380,0.999740
940,0.975792,0.934402,0.999890
950,0.975816,0.934080,0.999905
960,0.975799,0.934021,0.999827
970,0.975348,0.933921,0.999349
980,0.974245,0.932444,0.998658
990,0.973023,0.931000,0.997966
1000,0.972322,0.929996,0.997639
1010,0.972172,0.929679,0.997568
1020,0.973143,0.930787,0.998126
1030,0.975877,0.934199,0.999170
1040,0.974057,0.932713,0.997490
1050,0.970554,0.928842,0.996161
1060,0.967669,0.924971,0.995103
1070,0.966541,0.923836,0.994831
1080,0.966657,0.923982,0.994797
1090,0.967106,0.924499,0.994794
1100,0.966891,0.924313,0.994557
1110,0.965833,0.922655,0.993715
1120,0.961050,0.915953,0.991311
1130,0.948952,0.899653,0.988419
1140,0.939178,0.884360,0.982608
1150,0.925990,0.868186,0.972497
1160,0.912864,0.851887,0.963986
1170,0.902899,0.838920,0.956747
1180,0.888877,0.823569,0.944800
1190,0.872432,0.797722,0.933436
1200,0.863758,0.787569,0.926761
1210,0.854995,0.777081,0.919545
1220,0.847577,0.767244,0.912423
1230,0.831953,0.749009,0.903300
1240,0.819253,0.731781,0.895294
1250,0.816010,0.728374,0.892477
1260,0.817747,0.727842,0.895721
1270,0.818956,0.727777,0.899273
1280,0.819546,0.731487,0.901606
1290,0.806123,0.716276,0.891616
1300,0.800043,0.706354,0.887780
1310,0.798786,0.702490,0.889719
1320,0.808938,0.713545,0.899871
1330,0.808462,0.713141,0.899460
1340,0.808113,0.713032,0.899125
1350,0.807839,0.713116,0.898771
1360,0.831535,0.737553,0.918346
1370,0.831924,0.737852,0.918349
1380,0.835054,0.741078,0.921973
1390,0.835119,0.741479,0.921858
1400,0.834821,0.741539,0.921637
1410,0.839056,0.745041,0.922673
1420,0.846460,0.752823,0.929169
1430,0.848427,0.754470,0.930439
1440,0.847167,0.753070,0.931094
1450,0.844447,0.748593,0.928475
1460,0.841182,0.746819,0.925349
1470,0.838670,0.743859,0.922755
1480,0.839260,0.744925,0.923589
1490,0.850082,0.756200,0.932903
1500,0.845871,0.751484,0.928882
1510,0.834524,0.742783,0.919439
1520,0.822737,0.727210,0.910999
1530,0.817525,0.719941,0.909305
1540,0.810903,0.713791,0.903964
1550,0.801268,0.704598,0.894044
1560,0.792851,0.694719,0.887558
1570,0.781895,0.681154,0.876428
1580,0.765484,0.660030,0.860923
1590,0.761436,0.653679,0.856170
1600,0.760127,0.653570,0.855669
1610,0.759085,0.651891,0.855819
1620,0.749264,0.643152,0.850696
1630,0.737516,0.627372,0.837516
1640,0.729465,0.620660,0.828963
1650,0.724635,0.614500,0.825349
1660,0.731546,0.623831,0.831875
1670,0.729756,0.621377,0.829990
1680,0.757046,0.654153,0.853708
1690,0.754593,0.651592,0.850946
1700,0.752427,0.648904,0.847711
1710,0.745624,0.636832,0.846368
1720,0.755869,0.649047,0.856369
1730,0.747050,0.638230,0.848738
1740,0.744296,0.633870,0.846508
1750,0.761605,0.652466,0.860833
1760,0.754697,0.647041,0.854544
1770,0.749499,0.639835,0.849355
1780,0.738712,0.626478,0.841782
1790,0.731421,0.614698,0.835352
1800,0.727058,0.610157,0.831536
1810,0.721645,0.606972,0.826201
1820,0.716668,0.601137,0.822431
1830,0.713200,0.598229,0.819698
1840,0.710587,0.594264,0.816246
1850,0.708250,0.589783,0.814681
1860,0.713225,0.596081,0.818661
1870,0.710966,0.594921,0.816146
1880,0.710519,0.594467,0.815113
1890,0.706105,0.590712,0.811528
1900,0.679260,0.556990,0.792873
1910,0.669729,0.547196,0.784973
1920,0.672991,0.552914,0.788474
1930,0.666692,0.547005,0.783490
1940,0.665924,0.544605,0.783454
1950,0.656653,0.538316,0.772427
1960,0.651493,0.530438,0.768524
1970,0.652105,0.531761,0.768627
1980,0.662094,0.540581,0.779835
1990,0.666145,0.543115,0.784228
2000,0.668632,0.545665,0.786409
2010,0.671241,0.548853,0.788748
2020,0.672711,0.549793,0.790497
2030,0.672199,0.549791,0.789589
2040,0.679864,0.558063,0.796350
2050,0.695086,0.577755,0.807343
2060,0.703514,0.585360,0.814822
2070,0.701879,0.582033,0.812563
2080,0.713062,0.592554,0.819011
2090,0.714349,0.594003,0.819353
2100,0.722260,0.600310,0.827905
2110,0.726606,0.605996,0.832447
2120,0.728024,0.607285,0.833886
2130,0.729145,0.609079,0.834138
2140,0.720664,0.601621,0.827182
2150,0.719781,0.601366,0.825648
2160,0.716906,0.598546,0.822114
2170,0.713751,0.595565,0.818942
2180,0.718145,0.599339,0.825244
2190,0.714455,0.590464,0.824077
2200,0.711092,0.587350,0.821153
2210,0.707939,0.583830,0.819186
2220,0.687494,0.562315,0.802867
2230,0.688764,0.563864,0.806505
2240,0.684647,0.560522,0.801779
2250,0.681148,0.558047,0.797764
2260,0.677944,0.557505,0.790381
2270,0.674466,0.555488,0.785276
2280,0.677909,0.559466,0.787717
2290,0.678430,0.561295,0.786897
2300,0.678240,0.562321,0.785318
2310,0.674282,0.560681,0.781237
2320,0.666094,0.552171,0.774039
2330,0.658897,0.543185,0.765806
2340,0.653543,0.537040,0.760622
2350,0.653851,0.537919,0.760116
2360,0.647419,0.530406,0.756189
2370,0.642695,0.526010,0.751700
2380,0.637401,0.520800,0.746787
2390,0.622366,0.503834,0.734284
2400,0.636907,0.519247,0.749951
2410,0.635231,0.516976,0.748492
2420,0.632181,0.513549,0.743773
2430,0.626365,0.506457,0.736229
2440,0.616509,0.499917,0.724324
2450,0.597676,0.479264,0.707249
2460,0.593218,0.474226,0.703983
2470,0.587270,0.468124,0.701410
2480,0.574060,0.453287,0.691064
2490,0.574177,0.453275,0.690856
2500,0.570701,0.454000,0.691277
2510,0.553780,0.434322,0.673857
2520,0.548157,0.424526,0.670517
2530,0.545402,0.422049,0.666593
2540,0.546823,0.421976,0.669291
2550,0.544427,0.420254,0.666742
2560,0.538838,0.416985,0.660077
2570,0.544595,0.420415,0.669894
2580,0.539246,0.415192,0.663560
2590,0.540705,0.416264,0.666550
2600,0.537481,0.414079,0.663455
2610,0.528670,0.405802,0.654735
2620,0.525235,0.400028,0.653418
2630,0.519045,0.394230,0.647229
2640,0.514600,0.390141,0.642189
2650,0.504870,0.382649,0.632718
2660,0.493142,0.370328,0.619350
2670,0.476752,0.351732,0.602250
2680,0.461115,0.337361,0.585330
2690,0.456542,0.333646,0.581267
2700,0.448383,0.326217,0.573769
2710,0.443576,0.323561,0.571420
2720,0.442476,0.320408,0.569923
2730,0.437128,0.316393,0.565563
2740,0.433589,0.313496,0.563166
2750,0.430974,0.311944,0.560700
2760,0.429164,0.308323,0.559228
2770,0.427977,0.307808,0.558340
2780,0.425510,0.305077,0.556240
2790,0.425039,0.305170,0.556470
2800,0.421900,0.302178,0.550776
2810,0.427958,0.308065,0.560506
2820,0.414881,0.292707,0.544758
2830,0.395264,0.273846,0.525484
2840,0.391361,0.271656,0.521763
2850,0.385884,0.264642,0.516696
2860,0.380617,0.260752,0.509577
2870,0.370875,0.257721,0.498475
2880,0.363162,0.250342,0.486997
2890,0.359493,0.247207,0.483487
2900,0.357894,0.245568,0.482053
2910,0.375889,0.255414,0.501805
2920,0.372126,0.255584,0.494128
2930,0.368664,0.252421,0.489918
2940,0.367069,0.250778,0.487852
2950,0.366697,0.250894,0.488367
2960,0.381754,0.262642,0.503003
2970,0.380574,0.261142,0.502153
2980,0.371181,0.249885,0.492784
2990,0.366330,0.245933,0.486499
3000,0.360514,0.240610,0.479589
3010,0.354065,0.236138,0.471824
3020,0.354497,0.237100,0.473557
3030,0.327134,0.216505,0.441458
3040,0.334387,0.222680,0.450532
3050,0.338521,0.222649,0.457510
3060,0.347531,0.225409,0.472885
3070,0.354638,0.230032,0.482572
3080,0.360188,0.237272,0.487507
3090,0.364547,0.241845,0.488246
3100,0.360697,0.237705,0.482868
3110,0.349566,0.231010,0.472275
3120,0.342198,0.224275,0.464437
3130,0.340460,0.222220,0.464561
3140,0.338384,0.220809,0.462036
3150,0.341264,0.222551,0.465340
3160,0.345969,0.226807,0.467617
3170,0.346612,0.227197,0.468349
3180,0.346782,0.228362,0.469354
3190,0.346471,0.229283,0.468206
3200,0.345961,0.228899,0.467442
3210,0.345251,0.228537,0.466013
3220,0.344269,0.227705,0.465105
3230,0.337610,0.222834,0.459903
3240,0.322812,0.206200,0.442843
3250,0.321520,0.204626,0.441260
3260,0.319850,0.204250,0.439810
3270,0.332150,0.217352,0.454850
3280,0.331689,0.217810,0.451119
3290,0.331692,0.218663,0.451597
3300,0.335468,0.219677,0.456490
3310,0.335347,0.219327,0.456801
3320,0.336704,0.219475,0.458043
3330,0.337613,0.220450,0.461085
3340,0.338503,0.221837,0.462909
