# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683569-0.00000000j 0.00786898+0.05550235j 0.00786898-0.05550235j 0.00316453+0.00000000j
2.0 0.98767754+0.00000000j 0.03025881+0.10514919j 0.03025881-0.10514919j 0.01232267+0.00000000j
3.0 0.97347143+0.00000000j 0.06385458+0.14416620j 0.06385458-0.14416620j 0.02652878-0.00000000j
4.0 0.95560328+0.00000000j 0.10400283+0.16964342j 0.10400283-0.16964342j 0.04439693-0.00000000j
5.000000000000001 0.93566790+0.00000000j 0.14564601+0.18079039j 0.14564601-0.18079039j 0.06433231-0.00000000j
6.0 0.91523580+0.00000000j 0.18419147+0.17876537j 0.18419147-0.17876537j 0.08476441-0.00000000j
7.000000000000001 0.89565952+0.00000000j 0.21614079+0.16616383j 0.21614079-0.16616383j 0.10434070+0.00000000j
8.0 0.87794808+0.00000000j 0.23939003+0.14635546j 0.23939003-0.14635546j 0.12205213+0.00000000j
9.0 0.86271656+0.00000000j 0.25322076+0.12284554j 0.25322076-0.12284554j 0.13728365+0.00000000j
10.000000000000002 0.85020035+0.00000000j 0.25807094+0.09878057j 0.25807094-0.09878057j 0.14979986+0.00000000j
11.0 0.84031465+0.00000000j 0.25519755+0.07664610j 0.25519755-0.07664610j 0.15968556-0.00000000j
12.0 0.83273751+0.00000000j 0.24632720+0.05814600j 0.24632720-0.05814600j 0.16726270-0.00000000j
13.000000000000002 0.82699834+0.00000000j 0.23335641+0.04421799j 0.23335641-0.04421799j 0.17300187-0.00000000j
14.000000000000002 0.82255948+0.00000000j 0.21812720+0.03513186j 0.21812720-0.03513187j 0.17744073-0.00000000j
15.000000000000002 0.81888421+0.00000000j 0.20227693+0.03062477j 0.20227693-0.03062477j 0.18111601-0.00000000j
16.0 0.81548890+0.00000000j 0.18714753+0.03004343j 0.18714753-0.03004343j 0.18451131-0.00000000j
17.0 0.81197943+0.00000000j 0.17373651+0.03247893j 0.17373651-0.03247893j 0.18802079-0.00000000j
18.0 0.80807295-0.00000000j 0.16267653+0.03689054j 0.16267653-0.03689054j 0.19192726-0.00000000j
19.000000000000004 0.80360628-0.00000000j 0.15423750+0.04222016j 0.15423750-0.04222016j 0.19639393-0.00000000j
20.000000000000004 0.79853175-0.00000000j 0.14835170+0.04749852j 0.14835170-0.04749852j 0.20146846-0.00000000j
21.000000000000004 0.79290168-0.00000000j 0.14466532+0.05193938j 0.14466532-0.05193938j 0.20709853-0.00000000j
22.0 0.78684335-0.00000000j 0.14261779+0.05501300j 0.14261779-0.05501300j 0.21315686-0.00000000j
23.0 0.78052729-0.00000000j 0.14154435+0.05648681j 0.14154435-0.05648681j 0.21947292-0.00000000j
24.0 0.77413342-0.00000000j 0.14078871+0.05642281j 0.14078871-0.05642281j 0.22586679-0.00000000j
25.000000000000004 0.76782011-0.00000000j 0.13980637+0.05512902j 0.13980637-0.05512902j 0.23218010-0.00000000j
26.000000000000004 0.76170095-0.00000000j 0.13823815+0.05307290j 0.13823815-0.05307290j 0.23829926-0.00000000j
27.000000000000004 0.75583264-0.00000000j 0.13593938+0.05077547j 0.13593938-0.05077547j 0.24416757-0.00000000j
28.000000000000004 0.75021484-0.00000000j 0.13296173+0.04871029j 0.13296174-0.04871029j 0.24978537-0.00000000j
29.000000000000004 0.74480006-0.00000000j 0.12949791+0.04722882j 0.12949791-0.04722881j 0.25520015-0.00000000j
30.000000000000004 0.73950984-0.00000000j 0.12580798+0.04652476j 0.12580798-0.04652476j 0.26049037+0.00000000j
31.000000000000004 0.73425276-0.00000000j 0.12214880+0.04663744j 0.12214880-0.04663744j 0.26574745-0.00000000j
32.0 0.72894026-0.00000000j 0.11872253+0.04748398j 0.11872253-0.04748398j 0.27105995-0.00000000j
33.0 0.72349789-0.00000000j 0.11565168+0.04890499j 0.11565167-0.04890499j 0.27650232-0.00000000j
34.0 0.71787143-0.00000000j 0.11297897+0.05070912j 0.11297897-0.05070912j 0.28212878-0.00000000j
35.0 0.71202842-0.00000000j 0.11068441+0.05270698j 0.11068441-0.05270698j 0.28797179-0.00000000j
36.0 0.70595670-0.00000000j 0.10870992+0.05473077j 0.10870992-0.05473077j 0.29404351-0.00000000j
37.0 0.69966149-0.00000000j 0.10698331+0.05664113j 0.10698332-0.05664113j 0.30033873-0.00000000j
38.00000000000001 0.69316219-0.00000000j 0.10543627+0.05832540j 0.10543627-0.05832540j 0.30683802-0.00000000j
39.00000000000001 0.68648970-0.00000000j 0.10401427+0.05969209j 0.10401427-0.05969209j 0.31351051-0.00000000j
40.00000000000001 0.67968434-0.00000000j 0.10267881+0.06066523j 0.10267881-0.06066523j 0.32031587-0.00000000j
41.00000000000001 0.67279428-0.00000000j 0.10140375+0.06118111j 0.10140375-0.06118111j 0.32720593-0.00000000j
42.00000000000001 0.66587425-0.00000000j 0.10016825+0.06118828j 0.10016825-0.06118828j 0.33412596-0.00000000j
43.00000000000001 0.65898395-0.00000000j 0.09894895+0.06065066j 0.09894895-0.06065066j 0.34101627-0.00000000j
44.0 0.65218603-0.00000000j 0.09771377+0.05955282j 0.09771377-0.05955283j 0.34781418-0.00000000j
