# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683587-0.00000000j 0.00786773+0.05549554j 0.00786773-0.05549554j 0.00316438+0.00000000j
2.0 0.98767872+0.00000000j 0.03025244+0.10513570j 0.03025244-0.10513570j 0.01232153+0.00000000j
3.0 0.97347372+0.00000000j 0.06384347+0.14415593j 0.06384347-0.14415594j 0.02652653-0.00000000j
4.0 0.95560576+0.00000000j 0.10399106+0.16963691j 0.10399106-0.16963692j 0.04439449-0.00000000j
5.000000000000001 0.93567097-0.00000000j 0.14563111+0.18078534j 0.14563113-0.18078534j 0.06432928+0.00000000j
6.0 0.91523926-0.00000000j 0.18417401+0.17876393j 0.18417404-0.17876392j 0.08476099+0.00000000j
7.000000000000001 0.89566286-0.00000000j 0.21612254+0.16616745j 0.21612257-0.16616742j 0.10433739+0.00000000j
8.0 0.87795071-0.00000000j 0.23937322+0.14636446j 0.23937323-0.14636440j 0.12204954+0.00000001j
9.0 0.86271791-0.00000000j 0.25320745+0.12285906j 0.25320743-0.12285898j 0.13728234+0.00000000j
10.000000000000002 0.85020000-0.00000000j 0.25806253+0.09879685j 0.25806247-0.09879677j 0.14980025+0.00000000j
11.0 0.84031241+0.00000000j 0.25519451+0.07666301j 0.25519441-0.07666295j 0.15968784-0.00000000j
12.0 0.83273343+0.00000001j 0.24632911+0.05816148j 0.24632898-0.05816145j 0.16726682-0.00000001j
13.000000000000002 0.82699267+0.00000002j 0.23336220+0.04423044j 0.23336206-0.04423045j 0.17300758-0.00000002j
14.000000000000002 0.82255262+0.00000002j 0.21813542+0.03514031j 0.21813529-0.03514037j 0.17744763-0.00000002j
15.000000000000002 0.81887663+0.00000003j 0.20228606+0.03062890j 0.20228595-0.03062899j 0.18112362-0.00000003j
16.0 0.81548108+0.00000004j 0.18715619+0.03004352j 0.18715612-0.03004362j 0.18451917-0.00000004j
17.0 0.81197179+0.00000004j 0.17374366+0.03247567j 0.17374362-0.03247579j 0.18802846-0.00000004j
18.0 0.80806582+0.00000004j 0.16268149+0.03688489j 0.16268149-0.03688501j 0.19193443-0.00000004j
19.000000000000004 0.80359987+0.00000004j 0.15424002+0.04221318j 0.15424005-0.04221330j 0.19640038-0.00000004j
20.000000000000004 0.79852615+0.00000004j 0.14835188+0.04749120j 0.14835195-0.04749131j 0.20147411-0.00000004j
21.000000000000004 0.79289689+0.00000003j 0.14466353+0.05193249j 0.14466363-0.05193259j 0.20710337-0.00000003j
22.0 0.78683928+0.00000003j 0.14261456+0.05500707j 0.14261469-0.05500715j 0.21316098-0.00000003j
23.0 0.78052382+0.00000002j 0.14154021+0.05648210j 0.14154036-0.05648214j 0.21947644-0.00000002j
24.0 0.77413041+0.00000001j 0.14078409+0.05641938j 0.14078426-0.05641938j 0.22586984-0.00000001j
25.000000000000004 0.76781742-0.00000000j 0.13980161+0.05512682j 0.13980177-0.05512678j 0.23218284+0.00000000j
26.000000000000004 0.76169844-0.00000001j 0.13823351+0.05307184j 0.13823364-0.05307176j 0.23830182+0.00000001j
27.000000000000004 0.75583019-0.00000002j 0.13593505+0.05077545j 0.13593515-0.05077533j 0.24417006+0.00000002j
