# time rdo00 rdo01 rdo10 rdo11
0.0 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 1.00000000+0.00000000j
1.0 0.00316184+0.00000124j 0.00788204-0.05545221j 0.00783864+0.05545183j 0.99601821-0.00000439j
2.0 0.01930379-0.00002118j 0.03016291-0.10351161j 0.02996601+0.10355641j 0.97987633+0.00001722j
3.0 0.04671627-0.00009261j 0.06270656-0.13719729j 0.06241057+0.13738433j 0.95246385+0.00008865j
4.0 0.08164972-0.00020805j 0.09973411-0.15265982j 0.09944522+0.15309020j 0.91753040+0.00020409j
5.000000000000001 0.12000304-0.00036411j 0.13513614-0.14948308j 0.13499475+0.15020132j 0.87917708+0.00036016j
6.0 0.15808592-0.00055411j 0.16369928-0.13030692j 0.16383106+0.13126424j 0.84109421+0.00055015j
7.000000000000001 0.19314463-0.00076315j 0.18193482-0.09985153j 0.18239771+0.10091248j 0.80603549+0.00075920j
8.0 0.22358208-0.00096817j 0.18838414-0.06372458j 0.18913951+0.06471209j 0.77559804+0.00096421j
9.0 0.24890818-0.00114338j 0.18346249-0.02733717j 0.18438328+0.02809331j 0.75027194+0.00113942j
10.000000000000002 0.26951373-0.00126810j 0.16900472+0.00487277j 0.16991456-0.00443636j 0.72966639+0.00126414j
11.0 0.28637106-0.00133278j 0.14769506+0.02985330j 0.14842050-0.02973267j 0.71280906+0.00132882j
12.0 0.30074126-0.00134046j 0.12252336+0.04603426j 0.12293958-0.04614172j 0.69843886+0.00133651j
13.000000000000002 0.31393276-0.00130383j 0.09634857+0.05319964j 0.09640548-0.05339609j 0.68524736+0.00129987j
14.000000000000002 0.32712463-0.00123979j 0.07159525+0.05223178j 0.07131962-0.05236915j 0.67205549+0.00123583j
15.000000000000002 0.34124872-0.00116435j 0.05007443+0.04480008j 0.04955157-0.04476002j 0.65793142+0.00116039j
16.0 0.35691870-0.00108938j 0.03290519+0.03303978j 0.03224862-0.03275846j 0.64226146+0.00108542j
17.0 0.37439626-0.00102181j 0.02051385+0.01924599j 0.01983288-0.01872029j 0.62478392+0.00101783j
