# time rdo00 rdo01 rdo10 rdo11
0.0 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 1.00000000+0.00000000j
0.05000000000000001 0.00000032+0.00000000j 0.00000398+0.00056296j 0.00000398-0.00056296j 0.99999968+0.00000000j
0.10000000000000002 0.00000136+0.00000000j 0.00001618+0.00116406j 0.00001618-0.00116406j 0.99999864+0.00000000j
0.15000000000000005 0.00000326+0.00000000j 0.00003716+0.00180528j 0.00003716-0.00180528j 0.99999674-0.00000000j
0.20000000000000004 0.00000620+0.00000000j 0.00006750+0.00248866j 0.00006750-0.00248866j 0.99999380-0.00000000j
0.25000000000000006 0.00001036+0.00000000j 0.00010782+0.00321631j 0.00010782-0.00321631j 0.99998964-0.00000000j
0.3000000000000001 0.00001595+0.00000000j 0.00015875+0.00399040j 0.00015875-0.00399040j 0.99998405-0.00000000j
0.3500000000000001 0.00002323+0.00000000j 0.00022096+0.00481319j 0.00022096-0.00481319j 0.99997677-0.00000000j
0.4000000000000001 0.00003245+0.00000000j 0.00029518+0.00568699j 0.00029518-0.00568699j 0.99996755-0.00000000j
0.45000000000000007 0.00004393+0.00000000j 0.00038212+0.00661416j 0.00038212-0.00661416j 0.99995607-0.00000000j
0.5000000000000001 0.00005800+0.00000000j 0.00048257+0.00759715j 0.00048257-0.00759715j 0.99994200-0.00000000j
0.5500000000000002 0.00007506+0.00000000j 0.00059734+0.00863844j 0.00059734-0.00863844j 0.99992494-0.00000000j
0.6000000000000002 0.00009553+0.00000000j 0.00072726+0.00974059j 0.00072726-0.00974059j 0.99990447-0.00000000j
0.6500000000000001 0.00011988+0.00000000j 0.00087321+0.01090619j 0.00087321-0.01090619j 0.99988012+0.00000000j
0.7000000000000002 0.00014865+0.00000000j 0.00103612+0.01213790j 0.00103612-0.01213790j 0.99985135+0.00000000j
0.7500000000000002 0.00018241+0.00000000j 0.00121693+0.01343841j 0.00121693-0.01343841j 0.99981759+0.00000000j
0.8000000000000002 0.00022182+0.00000000j 0.00141664+0.01481045j 0.00141664-0.01481045j 0.99977818+0.00000000j
0.8500000000000002 0.00026759+0.00000000j 0.00163629+0.01625678j 0.00163629-0.01625678j 0.99973241+0.00000000j
0.9000000000000001 0.00032049+0.00000000j 0.00187695+0.01778018j 0.00187695-0.01778018j 0.99967951+0.00000000j
0.9500000000000002 0.00038139+0.00000000j 0.00213972+0.01938348j 0.00213972-0.01938348j 0.99961861+0.00000000j
1.0000000000000002 0.00045123+0.00000000j 0.00242577+0.02106948j 0.00242577-0.02106948j 0.99954877+0.00000000j
