# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683371-0.00000004j 0.00786668+0.05553936j 0.00786698-0.05553694j 0.00316222+0.00000001j
2.0 0.98766825-0.00000004j 0.03028664+0.10523726j 0.03028328-0.10522574j 0.01232448-0.00000004j
3.0 0.97344968+0.00000034j 0.06393906+0.14429262j 0.06392828-0.14427638j 0.02649746-0.00000041j
4.0 0.95555967+0.00000120j 0.10417948+0.16979757j 0.10415943-0.16978205j 0.04417710-0.00000138j
5.000000000000001 0.93557917+0.00000247j 0.14598817+0.18098380j 0.14595872-0.18097626j 0.06356495-0.00000340j
6.0 0.91505304+0.00000374j 0.18485109+0.17901988j 0.18481320-0.17903061j 0.08284454-0.00000750j
7.000000000000001 0.89530493+0.00000434j 0.21736595+0.16646599j 0.21732242-0.16651176j 0.10043701-0.00001626j
8.0 0.87732619+0.00000326j 0.24149341+0.14659771j 0.24145552-0.14670514j 0.11517898-0.00003500j
9.0 0.86173814-0.00000099j 0.25649644+0.12279016j 0.25649779-0.12299280j 0.12640357-0.00007249j
10.000000000000002 0.84881092-0.00001133j 0.26267910+0.09807179j 0.26279585-0.09839404j 0.13393681-0.00014016j
11.0 0.83851863-0.00003436j 0.26104393+0.07488101j 0.26141418-0.07530105j 0.13803407-0.00024863j
12.0 0.83061019-0.00008356j 0.25296609+0.05500069j 0.25379551-0.05539060j 0.13928398-0.00040187j
13.000000000000002 0.82467982-0.00018154j 0.23994539+0.03961627j 0.24148263-0.03966691j 0.13850198-0.00059141j
14.000000000000002 0.82022573-0.00035822j 0.22346270+0.02943763j 0.22592900-0.02858719j 0.13663021-0.00079458j
15.000000000000002 0.81669207-0.00064161j 0.20493781+0.02482669j 0.20840358-0.02222267j 0.13465435-0.00098160j
16.0 0.81349585-0.00104111j 0.18576504+0.02589049j 0.18998215-0.02042006j 0.13354209-0.00113409j
17.0 0.81004552-0.00152824j 0.16738630+0.03250139j 0.17160789-0.02292413j 0.13420093-0.00127311j
18.0 0.80576103-0.00202507j 0.15134487+0.04423013j 0.15419151-0.02943430j 0.13744178-0.00148800j
19.000000000000004 0.80009629-0.00240925j 0.13926653+0.06021018j 0.13871935-0.03958287j 0.14392909-0.00195060j
20.000000000000004 0.79256169-0.00253342j 0.13272034+0.07897590j 0.12633118-0.05282018j 0.15410011-0.00289628j
21.000000000000004 0.78276036-0.00224688j 0.13294837+0.09833912j 0.11831407-0.06819629j 0.16805287-0.00456056j
22.0 0.77049196-0.00142111j 0.14045685+0.11538931j 0.11589137-0.08408519j 0.18542099-0.00708662j
23.0 0.75594227+0.00000643j 0.15452620+0.12678180j 0.11971297-0.09807984j 0.20528409-0.01044767j
24.0 0.73984899+0.00198416j 0.17287051+0.12945662j 0.12920964-0.10737577j 0.22619921-0.01443099j
25.000000000000004 0.72346850+0.00433913j 0.19179895+0.12164142j 0.14228623-0.10968655j 0.24641431-0.01869657j
26.000000000000004 0.70829446+0.00682965j 0.20701732+0.10363588j 0.15575701-0.10423395j 0.26421155-0.02287698j
27.000000000000004 0.69567360+0.00922050j 0.21476420+0.07791110j 0.16640457-0.09217831j 0.27822706-0.02665906j
28.000000000000004 0.68651158+0.01132589j 0.21276493+0.04848198j 0.17208507-0.07621948j 0.28761707-0.02980596j
29.000000000000004 0.68115237+0.01300184j 0.20065967+0.01989910j 0.17230967-0.05962621j 0.29205445-0.03212392j
