# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683553+0.00000000j 0.00786913+0.05549211j 0.00786913-0.05549211j 0.00316437-0.00000000j
2.0 0.98767873+0.00000000j 0.03025182+0.10512657j 0.03025182-0.10512658j 0.01231520-0.00000000j
3.0 0.97347396+0.00000000j 0.06383977+0.14415078j 0.06383969-0.14415093j 0.02646570-0.00000001j
4.0 0.95559883-0.00000001j 0.10400711+0.16966545j 0.10400657-0.16966650j 0.04411452-0.00000012j
5.000000000000001 0.93562990-0.00000014j 0.14575380+0.18090095j 0.14575143-0.18090556j 0.06346944-0.00000072j
6.0 0.91510837-0.00000065j 0.18458152+0.17901510j 0.18457477-0.17903056j 0.08272154-0.00000303j
7.000000000000001 0.89535572-0.00000212j 0.21709586+0.16655173j 0.21708326-0.16659396j 0.10029814-0.00001002j
8.0 0.87736289-0.00000542j 0.24125722+0.14676994j 0.24124622-0.14686642j 0.11503923-0.00002749j
9.0 0.86175213-0.00001198j 0.25632234+0.12303096j 0.25634433-0.12321703j 0.12627839-0.00006455j
10.000000000000002 0.84879568-0.00002475j 0.26258531+0.09835380j 0.26271598-0.09865508j 0.13383934-0.00013267j
11.0 0.83847050-0.00005039j 0.26103755+0.07517240j 0.26141543-0.07556677j 0.13797299-0.00024222j
12.0 0.83052890-0.00010238j 0.25304379+0.05526953j 0.25387481-0.05562726j 0.13926193-0.00039688j
13.000000000000002 0.82456861-0.00020316j 0.24009545+0.03983407j 0.24162743-0.03984341j 0.13851499-0.00058794j
14.000000000000002 0.82009126-0.00038220j 0.22366735+0.02958120j 0.22611928-0.02867811j 0.13666799-0.00079274j
15.000000000000002 0.81654422-0.00066675j 0.20517551+0.02488051j 0.20861429-0.02221170j 0.13470140-0.00098170j
16.0 0.81334730-0.00106529j 0.18601216+0.02584689j 0.19018572-0.02030123j 0.13357982-0.00113679j
17.0 0.80991134-0.00154866j 0.16761744+0.03236084j 0.17177603-0.02270264j 0.13420990-0.00127927j
18.0 0.80565724-0.00203895j 0.15153441+0.04400304j 0.15429749-0.02912835j 0.13740403-0.00149817j
19.000000000000004 0.80003777-0.00241475j 0.13939032+0.05991779j 0.13873996-0.03922481j 0.14382961-0.00196444j
20.000000000000004 0.79255879-0.00253013j 0.13276172+0.07865066j 0.12625229-0.05245823j 0.15392832-0.00291239j
21.000000000000004 0.78281574-0.00223567j 0.13290395+0.09802073j 0.11813979-0.06789128j 0.16780501-0.00457741j
22.0 0.77059792-0.00140407j 0.14034023+0.11511623j 0.11565386-0.08389799j 0.18510319-0.00710358j
23.0 0.75608050+0.00002587j 0.15436528+0.12658021j 0.11947275-0.09805024j 0.20491357-0.01046518j
24.0 0.73999426+0.00200136j 0.17269759+0.12933348j 0.12904018-0.10750355j 0.22580102-0.01444966j
25.000000000000004 0.72359578+0.00434888j 0.19163882+0.12158533j 0.14224834-0.10992693j 0.24601522-0.01871640j
26.000000000000004 0.70838574+0.00682755j 0.20687955+0.10362529j 0.15587582-0.10451212j 0.26383418-0.02289672j
27.000000000000004 0.69572127+0.00920440j 0.21464276+0.07792474j 0.16666063-0.09241653j 0.27788696-0.02667567j
28.000000000000004 0.68651753+0.01129639j 0.21264446+0.04850720j 0.17242330-0.07636351j 0.28732277-0.02981466j
29.000000000000004 0.68112452+0.01296116j 0.20052538+0.01993565j 0.17266093-0.05965962j 0.29180894-0.03211954j
30.000000000000004 0.67934240+0.01406372j 0.17972453-0.00365171j 0.16840578-0.04516829j 0.29144859-0.03339708j
31.000000000000004 0.68050210+0.01445856j 0.15298820-0.01919442j 0.16156706-0.03468260j 0.28672876-0.03344611j
32.0 0.68358419+0.01400539j 0.12375145-0.02502127j 0.15416804-0.02881018j 0.27852217-0.03209617j
33.0 0.68738840+0.01260956j 0.09554292-0.02090958j 0.14779535-0.02721190j 0.26806784-0.02926548j
34.0 0.69073662+0.01026388j 0.07147038-0.00796562j 0.14336355-0.02896375j 0.25686182-0.02500066j
35.0 0.69265253+0.00707038j 0.05381361+0.01165046j 0.14112741-0.03287586j 0.24646838-0.01948309j
36.0 0.69247620+0.00323221j 0.04377183+0.03513484j 0.14081062-0.03770694j 0.23831032-0.01300988j
37.0 0.68991123-0.00097978j 0.04141832+0.05951362j 0.14174962-0.04229115j 0.23348927-0.00596241j
38.00000000000001 0.68501874-0.00527150j 0.04585703+0.08206939j 0.14300930-0.04562739j 0.23266219+0.00123127j
39.00000000000001 0.67816500-0.00936099j 0.05549918+0.10064152j 0.14347030-0.04698238j 0.23598621+0.00813617j
40.00000000000001 0.66992397-0.01299075j 0.06835893+0.11378912j 0.14191765-0.04603071j 0.24314256+0.01434724j
41.00000000000001 0.66094257-0.01592268j 0.08230552+0.12084789j 0.13717004-0.04300403j 0.25344914+0.01952015j
42.00000000000001 0.65179165-0.01793841j 0.09525588+0.12191652j 0.12826679-0.03878514j 0.26604966+0.02339776j
43.00000000000001 0.64283379-0.01886387j 0.10532646+0.11780808j 0.11469348-0.03489363j 0.28012781+0.02583367j
44.0 0.63412545-0.01861497j 0.11099558+0.10999415j 0.09661636-0.03334617j 0.29507786+0.02680950j
44.99999999999999 0.62535013-0.01724200j 0.11134327+0.10052410j 0.07510832-0.03638360j 0.31059244+0.02643706j
45.99999999999999 0.61578586-0.01494697j 0.10639388+0.09182175j 0.05233428-0.04602482j 0.32666856+0.02493488j
46.99999999999999 0.60435641-0.01205602j 0.09746591+0.08621572j 0.03158241-0.06340132j 0.34354457+0.02257739j
47.999999999999986 0.58985554-0.00894068j 0.08726169+0.08514098j 0.01691916-0.08795054j 0.36157113+0.01963389j
48.99999999999998 0.57137983-0.00590522j 0.07933329+0.08822879j 0.01227520-0.11682018j 0.38102812+0.01633228j
49.99999999999997 0.54880924-0.00310265j 0.07678709+0.09287054j 0.02010370-0.14501780j 0.40193814+0.01287923j
50.999999999999964 0.52300779-0.00056575j 0.08072151+0.09485999j 0.04021225-0.16654224j 0.42394439+0.00953234j
51.999999999999964 0.49558333+0.00164463j 0.08939014+0.09005275j 0.06940850-0.17608362j 0.44627371+0.00666528j
52.99999999999996 0.46844992+0.00331968j 0.09872553+0.07615860j 0.10215115-0.17057268j 0.46776159+0.00474688j
53.999999999999964 0.44355623+0.00415741j 0.10390699+0.05370940j 0.13195846-0.15005365j 0.48694770+0.00421364j
54.99999999999996 0.42281665+0.00395133j 0.10109231+0.02590215j 0.15308903-0.11768783j 0.50228082+0.00531170j
